Player,Cap Hit,Term,Total,Date,Level,Cap %,POS,Sign Age,Sign Status,Sign Expiry,Structure,GM,Agent,Draft Year,Draft Round
Kevin Reidler,"$946,250",2yr,$1.89M,30-Mar-26,ELC,0.90%,G,21,,RFA,2-Way,Steve Staios,Allain Roy,2022,5
Porter Martone,"$966,667",3yr,$2.90M,29-Mar-26,ELC,1%,RW,19,,RFA,2-Way,Daniel Briere,Paul Capizzano,2025,1
Max Lundgren,"$952,500",1yr,$953k,29-Mar-26,ELC,0.90%,G,23,,RFA,2-Way,Don Sweeney,,,
Hayes Hundley,"$1,010,000",3yr,$3.03M,27-Mar-26,ELC,1%,D,21,,RFA,2-Way,Brad Treliving,Patrick Sullivan,,
Owen Protz,"$1,004,167",3yr,$3.01M,27-Mar-26,ELC,1%,D,20,,RFA,2-Way,Kent Hughes,Andy Scott,2024,4
Tomas Cibulka,"$955,000",2yr,$1.91M,27-Mar-26,ELC,0.90%,D,21,,RFA,2-Way,Stan Bowman,J.P. Barry,,
Jiri Felcman,"$996,667",3yr,$2.99M,27-Mar-26,ELC,1%,C,20,,RFA,2-Way,Kyle Davidson,Allain Roy,2023,3
Lucas Wahlin,"$910,000",1yr,$910k,25-Mar-26,STD,0.90%,RW,24,,RFA,2-Way,Kevin Cheveldayoff,Dean Grillo,,
Gabriel Eliasson,"$1,007,500",3yr,$3.02M,25-Mar-26,ELC,1%,D,19,,RFA,2-Way,Steve Staios,Craig Oster,2024,2
Jacob Bernard-Docker,"$1,600,000",2yr,$3.20M,25-Mar-26,STD,1.50%,D,25,RFA,UFA,1-Way,Steve Yzerman,Brian & Scott Bartlett,2018,1
Michael Hrabal,"$1,075,000",3yr,$3.23M,25-Mar-26,ELC,1%,G,21,,RFA,2-Way,Bill Armstrong,Allan Walsh,2023,2
Aram Minnetian,"$1,075,000",3yr,$3.23M,24-Mar-26,ELC,1%,D,21,,RFA,2-Way,Jim Nill,Jordan Neumann & George Bazos,2023,4
Joshua Kotai,"$965,000",2yr,$1.93M,24-Mar-26,ELC,0.90%,G,23,,RFA,2-Way,Mathieu Darche,Jeff Helperl,,
Pavel Moysevich,"$980,000",3yr,$2.94M,23-Mar-26,ELC,0.90%,G,21,,RFA,2-Way,Kelly McCrimmon,Daniel Milstein,2024,3
Fyodor Svechkov,"$1,250,000",2yr,$2.50M,23-Mar-26,STD,1.20%,C,22,RFA,RFA,1-Way,Barry Trotz,Daniel Milstein,2021,1
Alex Ciernik,"$1,007,500",3yr,$3.02M,23-Mar-26,ELC,1%,LW,21,,RFA,2-Way,Daniel Briere,Allan Walsh,2023,4
Caleb Desnoyers,"$1,075,000",3yr,$3.23M,23-Mar-26,ELC,1%,C,18,,RFA,2-Way,Bill Armstrong,Philippe Lecavalier,2025,1
Félix Trudeau,"$1,013,750",2yr,$2.03M,23-Mar-26,ELC,1%,LW,23,,RFA,2-Way,Doug Armstrong,Philippe Lecavalier,,
Herman Träff,"$990,000",3yr,$2.97M,22-Mar-26,ELC,1%,LW,20,,RFA,2-Way,Pat Verbeek,Brian & Scott Bartlett,2024,3
Bill Zonnon,"$1,075,000",3yr,$3.23M,22-Mar-26,ELC,1%,C,19,,RFA,2-Way,Kyle Dubas,Philippe Lecavalier,2025,1
Riley Thompson,"$1,025,000",1yr,$1.03M,22-Mar-26,ELC,1%,C,23,,RFA,2-Way,Daniel Briere,Pete Rutili,,
Drew Fortescue,"$923,333",3yr,$2.77M,21-Mar-26,ELC,1%,D,20,,RFA,2-Way,Chris Drury,Jerry Buckley,2023,3
Gabriel D'Aigle,"$995,000",3yr,$2.99M,21-Mar-26,ELC,1%,G,19,,RFA,2-Way,Kyle Dubas,Allan Walsh,2025,3
Dylan Hryckowian,"$1,013,750",2yr,$2.03M,20-Mar-26,ELC,1%,RW,21,,RFA,2-Way,Jim Nill,Neil Sheehy,,
Victor Mancini,"$1,000,000",2yr,$2.00M,20-Mar-26,STD,1%,D,23,RFA,RFA,1-Way,Patrik Allvin,Kurt Overhardt,2022,5
Michael Carcone,"$1,750,000",2yr,$3.50M,20-Mar-26,STD,1.70%,C,29,UFA,UFA,1-Way,Bill Armstrong,Murray Koontz,,
Cole Eiserman,"$1,075,000",3yr,$3.23M,18-Mar-26,ELC,1%,LW,19,,RFA,2-Way,Mathieu Darche,Brian & Scott Bartlett,2024,1
Brandon Buhr,"$975,000",1yr,$975k,18-Mar-26,ELC,0.90%,C,23,,RFA,2-Way,Brad Treliving,Michael O'Rafferty,,
