Draft Round,pro_year,mean_WAR,mean_WAR_82,median_WAR,players,mean_GP
1,1,0.07261363636363637,0.11062499999999999,0.01,176,38.15340909090909
1,2,0.1,0.1550191570881226,0.03,261,43.13026819923372
1,3,0.10698961937716264,0.14,0.04,289,50.65743944636678
1,4,0.14121107266435987,0.1793425605536332,0.06,289,54.20415224913495
1,5,0.1456655290102389,0.18860068259385665,0.07,293,57.33788395904437
1,6,0.18151079136690648,0.2275179856115108,0.08499999999999999,278,56.568345323741006
1,7,0.18996000000000002,0.23208,0.095,250,59.1
1,8,0.21086206896551724,0.26439655172413795,0.11499999999999999,232,59.849137931034484
2,1,0.02,0.064,0.0,35,18.914285714285715
2,2,0.04041666666666666,0.09625,0.01,96,23.270833333333332
2,3,0.04603896103896104,0.09181818181818183,0.02,154,32.95454545454545
2,4,0.07646739130434783,0.1292391304347826,0.04,184,42.22282608695652
2,5,0.08870270270270271,0.13297297297297297,0.04,185,47.97837837837838
2,6,0.10680473372781066,0.14118343195266272,0.04,169,50.319526627218934
2,7,0.11584507042253521,0.14845070422535211,0.04,142,52.5
2,8,0.12684615384615383,0.16030769230769232,0.055,130,50.65384615384615
3,1,0.01,0.07125000000000001,0.0,8,5.125
3,2,0.041951219512195125,0.10121951219512196,0.01,41,18.804878048780488
3,3,0.045,0.10279411764705883,0.01,68,21.397058823529413
3,4,0.05968421052631579,0.09347368421052632,0.01,95,30.810526315789474
3,5,0.0904040404040404,0.12333333333333332,0.03,99,40.96969696969697
3,6,0.09268041237113402,0.1290721649484536,0.05,97,44.350515463917525
3,7,0.11,0.1625609756097561,0.06,82,48.08536585365854
3,8,0.10661971830985915,0.1491549295774648,0.06,71,51.84507042253521
4,1,0.034444444444444444,0.08000000000000002,0.01,9,21.11111111111111
4,2,0.04121212121212121,0.11666666666666667,0.01,33,19.848484848484848
4,3,0.038125,0.09734375,0.01,64,26.328125
4,4,0.0661038961038961,0.12077922077922079,0.02,77,34.61038961038961
4,5,0.07735632183908046,0.12379310344827586,0.05,87,39.67816091954023
4,6,0.10234567901234569,0.15160493827160496,0.06,81,45.592592592592595
4,7,0.12037974683544303,0.17417721518987342,0.07,79,45.20253164556962
4,8,0.11499999999999999,0.16805555555555554,0.07,72,49.94444444444444
5,1,0.0,0.0,0.0,3,3.6666666666666665
5,2,0.023333333333333334,0.08666666666666667,0.01,21,16.19047619047619
5,3,0.028048780487804875,0.0675609756097561,0.01,41,23.78048780487805
5,4,0.03781818181818182,0.08436363636363638,0.02,55,29.254545454545454
5,5,0.06107692307692308,0.11723076923076924,0.02,65,29.692307692307693
5,6,0.0744776119402985,0.12164179104477613,0.04,67,39.17910447761194
5,7,0.11846153846153847,0.17676923076923076,0.05,65,44.03076923076923
5,8,0.12910714285714286,0.17267857142857143,0.055,56,47.392857142857146
6,1,0.041999999999999996,0.13799999999999998,0.02,5,21.0
6,2,0.0125,0.041249999999999995,0.01,8,31.125
6,3,0.02111111111111111,0.0425925925925926,0.0,27,20.185185185185187
6,4,0.06369565217391304,0.12043478260869565,0.03,46,26.934782608695652
6,5,0.08169811320754718,0.1260377358490566,0.03,53,35.698113207547166
6,6,0.08830188679245282,0.11830188679245282,0.04,53,42.905660377358494
6,7,0.08690909090909091,0.11709090909090909,0.04,55,39.763636363636365
6,8,0.13755555555555557,0.17200000000000001,0.05,45,48.955555555555556
7,1,0.049999999999999996,0.06333333333333334,0.0,3,24.333333333333332
7,2,0.04555555555555556,0.060000000000000005,0.0,9,21.88888888888889
7,3,0.022173913043478263,0.059565217391304354,0.0,23,18.695652173913043
7,4,0.04675675675675676,0.1108108108108108,0.02,37,26.08108108108108
7,5,0.07388888888888889,0.15777777777777777,0.05,36,34.44444444444444
7,6,0.0626470588235294,0.12,0.03,34,31.705882352941178
7,7,0.0996875,0.1440625,0.065,32,47.4375
7,8,0.09085714285714286,0.12685714285714286,0.04,35,44.08571428571429
