Player,stats_name,POS,Age,Status,Current_Cap_Hit,Current_Cap_Num,GP,WAR,WAR_82,Points,Pred_Cap_Pct,Pred_AAV,AAV_Lo,AAV_Hi,Pred_Term,Term_Lo,Term_Hi,AAV_Delta
Jason Robertson,Jason Robertson,LW,27,RFA,"$7,750,000",7750000.0,82,4.95,0.58,80,11.39,11900000,10440000,13790000,7,6,8,4150000.0
Nikita Kucherov,Nikita Kucherov,RW,33,UFA,"$9,500,000",9500000.0,78,6.14,1.33,121,10.7,11190000,9720000,13070000,4,2,5,1690000.0
Nico Hischier,Nico Hischier,C,27,UFA,"$7,250,000",7250000.0,75,1.88,1.18,69,9.62,10060000,8590000,11940000,8,7,8,2810000.0
Adam Fantilli,Adam Fantilli,C,21,RFA,"$950,000",950000.0,82,1.45,-0.19,54,8.02,8380000,6920000,10270000,7,5,8,7430000.0
Connor Bedard,Connor Bedard,C,21,RFA,"$950,000",950000.0,82,0.74,0.56,67,7.94,8300000,6840000,10190000,6,4,7,7350000.0
Dylan Holloway,Dylan Holloway,C,24,RFA,"$2,290,457",2290457.0,77,1.11,0.17,63,7.76,8110000,6650000,10000000,7,5,8,5819543.0
Pavel Dorofeyev,Pavel Dorofeyev,LW,25,RFA,"$1,835,000",1835000.0,82,4.4,1.02,52,7.42,7750000,6290000,9640000,5,4,7,5915000.0
Sidney Crosby,Sidney Crosby,C,39,UFA,"$8,700,000",8700000.0,80,2.69,1.22,91,7.41,7740000,6280000,9630000,3,1,4,-960000.0
Justin Sourdif,Justin Sourdif,RW,25,RFA,"$825,000",825000.0,1,1.89,0.15,1,7.35,7680000,6220000,9570000,5,4,7,6855000.0
Tyler Seguin,Tyler Seguin,C,34,UFA,"$9,850,000",9850000.0,20,0.29,0.25,21,6.8,7110000,5640000,8990000,2,1,4,-2740000.0
Mark Stone,Mark Stone,RW,34,UFA,"$9,500,000",9500000.0,66,3.59,1.71,67,6.74,7040000,5580000,8930000,1,1,2,-2460000.0
Alex Ovechkin,Alex Ovechkin,LW,40,UFA,"$9,500,000",9500000.0,65,1.23,0.39,73,6.72,7020000,5560000,8910000,3,2,5,-2480000.0
Jared McCann,Jared McCann,C,30,UFA,"$5,000,000",5000000.0,82,2.0,0.56,61,6.22,6500000,5040000,8390000,5,4,7,1500000.0
Erik Karlsson,Erik Karlsson,D,37,UFA,"$11,500,000",11500000.0,82,1.76,0.19,53,6.19,6470000,5010000,8360000,4,2,5,-5030000.0
Connor McMichael,Connor McMichael,C,25,RFA,"$2,100,000",2100000.0,82,0.28,0.08,57,5.91,6180000,4720000,8070000,5,4,7,4080000.0
Leo Carlsson,Leo Carlsson,C,21,RFA,"$950,000",950000.0,76,1.98,0.0,44,5.73,5990000,4530000,7880000,5,3,6,5040000.0
Drew Doughty,Drew Doughty,D,36,UFA,"$11,000,000",11000000.0,30,1.51,-0.13,17,5.58,5830000,4370000,7720000,2,1,4,-5170000.0
Cole Perfetti,Cole Perfetti,C,24,RFA,"$3,250,000",3250000.0,82,-0.39,0.31,50,5.45,5700000,4230000,7580000,4,2,6,2450000.0
Justin Faulk,Justin Faulk,D,34,UFA,"$6,500,000",6500000.0,78,1.92,0.03,32,5.44,5690000,4230000,7580000,2,1,4,-810000.0
Mason Marchment,Mason Marchment,LW,31,UFA,"$4,500,000",4500000.0,62,1.11,-0.08,47,5.11,5340000,3880000,7230000,3,2,5,840000.0
Sebastian Aho,Sebastian Aho,D,30,UFA,"$775,000",775000.0,79,3.21,0.89,74,4.95,5170000,3710000,7060000,4,3,6,4395000.0
Pavel Zacha,Pavel Zacha,C,29,UFA,"$4,750,000",4750000.0,82,0.52,0.39,47,4.88,5100000,3640000,6990000,3,2,5,350000.0
Jacob Trouba,Jacob Trouba,D,32,UFA,"$8,000,000",8000000.0,77,3.33,-0.05,14,4.57,4770000,3310000,6660000,3,2,5,-3230000.0
Artyom Zub,Artem Zub,D,31,UFA,"$4,600,000",4600000.0,56,2.35,0.22,13,4.55,4760000,3300000,6650000,4,2,5,160000.0
Jordan Spence,Jordan Spence,D,25,RFA,"$1,500,000",1500000.0,79,2.82,0.12,28,4.52,4720000,3260000,6610000,3,2,5,3220000.0
Brett Kulak,Brett Kulak,D,32,UFA,"$2,750,000",2750000.0,82,0.67,0.26,25,4.51,4710000,3250000,6600000,2,1,4,1960000.0
Trevor Zegras,Trevor Zegras,C,25,RFA,"$5,750,000",5750000.0,57,2.34,-0.12,32,4.47,4670000,3210000,6560000,4,2,5,-1080000.0
Braden Schneider,Braden Schneider,D,24,RFA,"$2,200,000",2200000.0,80,0.64,0.46,21,4.4,4600000,3140000,6490000,4,3,6,2400000.0
Anders Lee,Anders Lee,LW,35,UFA,"$7,000,000",7000000.0,82,0.48,0.22,54,4.15,4340000,2880000,6230000,3,1,4,-2660000.0
John Marino,John Marino,D,29,UFA,"$4,400,000",4400000.0,35,2.76,0.22,14,4.03,4210000,2750000,6100000,4,3,6,-190000.0
Jalen Chatfield,Jalen Chatfield,D,31,UFA,"$3,000,000",3000000.0,79,1.65,0.5,18,3.99,4170000,2710000,6060000,3,2,5,1170000.0
Zach Benson,Zach Benson,C,21,RFA,"$950,000",950000.0,75,1.2,0.15,28,3.96,4130000,2670000,6020000,5,3,6,3180000.0
Michael Bunting,Michael Bunting,LW,30,UFA,"$4,500,000",4500000.0,76,2.13,0.44,38,3.9,4070000,2610000,5960000,3,1,4,-430000.0
Mario Ferraro,Mario Ferraro,D,27,UFA,"$3,250,000",3250000.0,78,1.07,-0.46,17,3.89,4060000,2600000,5950000,4,2,5,810000.0
John Klingberg,John Klingberg,D,33,UFA,"$4,000,000",4000000.0,11,1.58,-0.46,4,3.86,4030000,2570000,5920000,1,1,3,30000.0
Mason Lohrei,Mason Lohrei,D,26,RFA,"$3,200,000",3200000.0,77,1.16,0.07,33,3.81,3980000,2520000,5870000,3,1,4,780000.0
Tyson Foerster,Tyson Foerster,RW,25,RFA,"$3,750,000",3750000.0,81,0.57,0.12,43,3.58,3750000,2280000,5630000,2,1,4,0.0
Kevin Stenlund,Kevin Stenlund,C,29,UFA,"$2,000,000",2000000.0,82,-0.88,-0.0,28,3.57,3730000,2270000,5620000,3,2,5,1730000.0
Barrett Hayton,Barrett Hayton,C,26,RFA,"$2,650,000",2650000.0,82,0.47,0.42,46,3.53,3690000,2230000,5580000,3,1,4,1040000.0
Jake Neighbours,Jake Neighbours,LW,24,RFA,"$3,750,000",3750000.0,82,1.34,0.08,46,3.5,3660000,2200000,5550000,2,1,4,-90000.0
Jamie Drysdale,Jamie Drysdale,D,24,RFA,"$2,300,000",2300000.0,70,1.92,-0.44,20,3.38,3540000,2070000,5430000,3,2,5,1240000.0
Evgeni Malkin,Evgeni Malkin,C,39,UFA,"$6,100,000",6100000.0,68,0.76,1.02,50,3.37,3520000,2060000,5410000,2,1,3,-2580000.0
Nino Niederreiter,Nino Niederreiter,RW,34,UFA,"$4,000,000",4000000.0,82,-0.11,0.15,37,3.28,3430000,1970000,5320000,2,1,3,-570000.0
David Perron,David Perron,LW,38,UFA,"$4,000,000",4000000.0,43,1.63,-0.1,16,3.23,3380000,1910000,5260000,1,1,3,-620000.0
Thomas Novak,Thomas Novak,C,29,UFA,"$3,500,000",3500000.0,54,2.04,0.15,22,3.2,3350000,1890000,5240000,3,2,5,-150000.0
Kyle Palmieri,Kyle Palmieri,RW,36,UFA,"$4,750,000",4750000.0,82,-0.04,0.43,48,3.19,3340000,1880000,5230000,2,1,4,-1410000.0
Chris Kreider,Chris Kreider,LW,35,UFA,"$6,500,000",6500000.0,68,2.01,0.52,30,3.19,3330000,1870000,5220000,2,1,3,-3170000.0
Jaden Schwartz,Jaden Schwartz,LW,34,UFA,"$5,500,000",5500000.0,81,-0.19,0.53,49,3.16,3310000,1840000,5190000,2,1,4,-2190000.0
Jason Zucker,Jason Zucker,LW,35,UFA,"$4,750,000",4750000.0,73,2.53,0.82,53,3.07,3210000,1740000,5090000,2,1,4,-1540000.0
Radko Gudas,Radko Gudas,D,36,UFA,"$4,000,000",4000000.0,81,1.81,0.06,16,3.07,3200000,1740000,5090000,1,1,3,-800000.0
Tyler Myers,Tyler Myers,D,37,UFA,"$3,000,000",3000000.0,71,-0.1,-0.24,24,3.06,3200000,1730000,5080000,2,1,4,200000.0
Bobby Brink,Bobby Brink,RW,24,RFA,"$1,500,000",1500000.0,79,0.58,0.04,41,2.99,3120000,1660000,5010000,2,1,3,1620000.0
Ryan Hartman,Ryan Hartman,RW,32,UFA,"$4,000,000",4000000.0,69,1.92,0.17,26,2.97,3110000,1640000,4990000,2,1,3,-890000.0
Matias Maccelli,Matias Maccelli,LW,25,RFA,"$3,425,000",3425000.0,55,1.79,0.06,18,2.97,3100000,1640000,4990000,3,1,5,-325000.0
Eeli Tolvanen,Eeli Tolvanen,RW,27,UFA,"$3,475,000",3475000.0,81,-0.81,0.08,35,2.96,3100000,1630000,4980000,4,2,5,-375000.0
Samuel Girard,Samuel Girard,D,28,UFA,"$5,000,000",5000000.0,73,1.84,0.31,24,2.95,3080000,1620000,4970000,4,2,5,-1920000.0
Gustav Nyquist,Gustav Nyquist,C,36,UFA,"$3,250,000",3250000.0,79,0.04,0.29,28,2.94,3080000,1610000,4960000,1,1,2,-170000.0
Jack Drury,Jack Drury,C,26,RFA,"$1,725,000",1725000.0,72,1.82,0.19,18,2.9,3030000,1570000,4920000,3,2,5,1305000.0
Vladimir Tarasenko,Vladimir Tarasenko,RW,34,UFA,"$4,750,000",4750000.0,80,1.48,0.18,33,2.9,3030000,1560000,4910000,2,1,3,-1720000.0
Brendan Gallagher,Brendan Gallagher,RW,34,UFA,"$6,500,000",6500000.0,82,-0.58,0.01,38,2.89,3020000,1560000,4910000,2,1,4,-3480000.0
Casey Mittelstadt,Casey Mittelstadt,C,28,UFA,"$5,750,000",5750000.0,81,1.93,0.0,40,2.85,2970000,1510000,4860000,2,1,4,-2780000.0
Ilya Mikheyev,Ilya Mikheyev,RW,31,UFA,"$4,750,000",4750000.0,80,0.17,0.56,34,2.83,2960000,1500000,4850000,2,1,4,-1790000.0
Vladislav Namestnikov,Vladislav Namestnikov,C,34,UFA,"$3,000,000",3000000.0,78,0.83,-0.04,38,2.82,2950000,1480000,4830000,1,1,3,-50000.0
William Karlsson,William Karlsson,C,34,UFA,"$5,900,000",5900000.0,53,0.31,0.41,29,2.66,2780000,1320000,4670000,2,1,3,-3120000.0
Tyler Kleven,Tyler Kleven,D,25,RFA,"$1,600,000",1600000.0,79,1.3,0.27,10,2.66,2780000,1320000,4670000,2,1,4,1180000.0
Sam Steel,Sam Steel,C,29,UFA,"$2,100,000",2100000.0,79,0.81,0.24,25,2.61,2730000,1260000,4610000,2,1,4,630000.0
Nic Dowd,Nic Dowd,C,36,UFA,"$3,000,000",3000000.0,82,0.13,-0.01,27,2.58,2700000,1240000,4590000,2,1,4,-300000.0
Logan Stanley,Logan Stanley,D,28,UFA,"$1,250,000",1250000.0,63,0.73,0.07,14,2.5,2620000,1150000,4500000,2,1,4,1370000.0
Anthony Mantha,Anthony Mantha,RW,31,UFA,"$2,500,000",2500000.0,13,3.22,-0.17,7,2.48,2600000,1130000,4480000,1,1,3,100000.0
Adam Henrique,Adam Henrique,C,36,UFA,"$3,000,000",3000000.0,81,-0.46,-0.13,27,2.41,2520000,1060000,4410000,2,1,3,-480000.0
Cole Sillinger,Cole Sillinger,C,23,RFA,"$2,250,000",2250000.0,66,0.42,-0.14,33,2.39,2500000,1040000,4390000,2,1,4,250000.0
Garnet Hathaway,Garnet Hathaway,RW,34,UFA,"$2,400,000",2400000.0,67,-0.23,0.23,21,2.34,2440000,980000,4330000,2,1,4,40000.0
Peyton Krebs,Peyton Krebs,C,25,RFA,"$1,450,000",1450000.0,81,-0.26,0.11,28,2.33,2430000,970000,4320000,2,1,4,980000.0
Connor Clifton,Connor Clifton,D,31,UFA,"$3,333,333",3333333.0,73,0.93,0.28,16,2.32,2420000,960000,4310000,2,1,4,-913333.0
Jamie Oleksiak,Jamie Oleksiak,D,33,UFA,"$4,600,000",4600000.0,82,-0.44,-0.1,17,2.32,2420000,960000,4310000,3,1,4,-2180000.0
Jeff Skinner,Jeff Skinner,C,34,UFA,"$3,000,000",3000000.0,72,0.76,0.05,29,2.3,2400000,940000,4290000,1,1,2,-600000.0
Ty Emberson,Ty Emberson,D,26,UFA,"$1,300,000",1300000.0,76,0.2,0.27,13,2.27,2380000,910000,4260000,3,1,4,1080000.0
Colton Sissons,Colton Sissons,C,32,UFA,"$2,857,143",2857143.0,72,0.01,-0.24,21,2.23,2330000,860000,4210000,3,1,4,-527143.0
Drew O'Connor,Drew O'Connor,LW,28,UFA,"$2,500,000",2500000.0,84,0.24,0.09,25,2.18,2280000,810000,4160000,2,1,4,-220000.0
Justin Holl,Justin Holl,D,34,UFA,"$3,400,000",3400000.0,73,0.25,0.0,8,2.17,2270000,810000,4160000,2,1,3,-1130000.0
Brandon Duhaime,Brandon Duhaime,RW,29,UFA,"$1,850,000",1850000.0,82,0.01,0.0,21,2.14,2230000,780000,4120000,2,1,4,380000.0
Eetu Luostarinen,Eetu Luostarinen,C,27,UFA,"$3,000,000",3000000.0,80,0.54,0.42,24,2.12,2220000,780000,4100000,3,1,4,-780000.0
Danton Heinen,Danton Heinen,LW,30,UFA,"$2,250,000",2250000.0,79,0.38,0.11,29,2.09,2190000,780000,4070000,1,1,3,-60000.0
Carson Soucy,Carson Soucy,D,31,UFA,"$3,250,000",3250000.0,75,-0.14,0.0,13,2.08,2170000,780000,4060000,3,2,5,-1080000.0
Patrik Laine,Patrik Laine,LW,28,UFA,"$8,700,000",8700000.0,52,-0.08,0.0,33,2.06,2160000,780000,4040000,3,1,4,-6540000.0
Corey Perry,Corey Perry,RW,41,UFA,"$2,000,000",2000000.0,81,0.47,0.6,30,2.02,2110000,780000,4000000,1,1,2,110000.0
Luke Schenn,Luke Schenn,D,36,UFA,"$2,750,000",2750000.0,76,-0.48,0.27,7,1.93,2020000,780000,3900000,2,1,4,-730000.0
Philip Tomasino,Philip Tomasino,C,24,RFA,"$1,750,000",1750000.0,61,-0.02,0.18,24,1.93,2020000,780000,3910000,1,1,3,270000.0
Ryan Reaves,Ryan Reaves,RW,39,UFA,"$1,350,000",1350000.0,35,-0.16,0.03,2,1.92,2000000,780000,3890000,3,1,4,650000.0
Victor Olofsson,Victor Olofsson,LW,31,UFA,"$1,575,000",1575000.0,56,1.12,0.01,29,1.9,1980000,780000,3870000,1,1,3,405000.0
Nicholas Robertson,Nicholas Robertson,LW,24,RFA,"$1,825,000",1825000.0,69,1.77,0.04,22,1.85,1930000,780000,3820000,2,1,3,105000.0
Simon Benoit,Simon Benoit,D,28,UFA,"$1,350,000",1350000.0,78,-0.97,-0.04,10,1.84,1920000,780000,3810000,3,2,5,570000.0
Jordan Staal,Jordan Staal,C,38,UFA,"$2,900,000",2900000.0,75,1.8,0.27,36,1.83,1920000,780000,3800000,2,1,3,-980000.0
Noel Acciari,Noel Acciari,C,34,UFA,"$2,000,000",2000000.0,79,1.39,0.37,12,1.81,1890000,780000,3780000,1,1,3,-110000.0
Jack Roslovic,Jack Roslovic,C,29,UFA,"$1,500,000",1500000.0,81,1.98,0.2,39,1.76,1840000,780000,3730000,2,1,3,340000.0
Jesper Boqvist,Jesper Boqvist,C,28,UFA,"$1,500,000",1500000.0,78,0.2,0.13,23,1.71,1790000,780000,3680000,2,1,3,290000.0
Tony DeAngelo,Tony DeAngelo,D,30,UFA,"$1,750,000",1750000.0,35,0.44,-0.11,19,1.63,1710000,780000,3590000,1,1,3,-40000.0
Arber Xhekaj,Arber Xhekaj,D,25,RFA,"$1,300,000",1300000.0,70,-0.61,-0.02,6,1.61,1680000,780000,3570000,2,1,4,380000.0
Beck Malenstyn,Beck Malenstyn,LW,28,UFA,"$1,350,000",1350000.0,76,-0.03,0.24,10,1.59,1660000,780000,3550000,2,1,4,310000.0
Calle Jarnkrok,Calle Jarnkrok,C,34,UFA,"$2,100,000",2100000.0,19,0.08,0.04,7,1.55,1620000,780000,3500000,1,1,3,-480000.0
Justin Barron,Justin Barron,D,24,RFA,"$1,150,000",1150000.0,62,0.51,0.17,13,1.49,1560000,780000,3450000,2,1,3,410000.0
Jordan Greenway,Jordan Greenway,C,30,UFA,"$4,000,000",4000000.0,34,0.22,0.07,8,1.49,1560000,780000,3450000,2,1,3,-2440000.0
Ryan Lomberg,Ryan Lomberg,LW,31,UFA,"$2,000,000",2000000.0,80,-0.24,0.04,13,1.44,1510000,780000,3390000,2,1,3,-490000.0
Ilya Solovyov,Ilya Solovyov,D,26,UFA,"$775,000",775000.0,5,1.05,0.2,1,1.42,1490000,780000,3380000,2,1,3,715000.0
Erik Gudbranson,Erik Gudbranson,D,34,UFA,"$4,000,000",4000000.0,16,-0.05,0.51,4,1.4,1460000,780000,3350000,1,1,3,-2540000.0
Philipp Kurashev,Philipp Kurashev,C,26,RFA,"$1,200,000",1200000.0,51,0.47,0.14,14,1.36,1420000,780000,3310000,1,1,3,220000.0
Evander Kane,Evander Kane,LW,34,UFA,"$5,125,000",5125000.0,0,0.36,0.09,0,1.34,1400000,780000,3290000,1,1,3,-3725000.0
Tyler Tucker,Tyler Tucker,D,26,UFA,"$925,000",925000.0,38,0.6,0.15,7,1.3,1360000,780000,3250000,2,1,4,435000.0
Brayden Pachal,Brayden Pachal,D,27,UFA,"$1,187,500",1187500.0,76,0.73,0.15,12,1.29,1350000,780000,3240000,2,1,3,162500.0
Tanner Pearson,Tanner Pearson,LW,33,UFA,"$1,000,000",1000000.0,78,0.36,0.08,27,1.29,1340000,780000,3230000,1,1,3,340000.0
Connor Dewar,Connor Dewar,C,27,UFA,"$1,100,000",1100000.0,48,1.15,0.52,10,1.25,1300000,780000,3190000,1,1,3,200000.0
Troy Stecher,Troy Stecher,D,32,UFA,"$787,500",787500.0,66,0.26,0.23,7,1.25,1300000,780000,3190000,2,1,3,512500.0
Mackie Samoskevich,Mackie Samoskevich,RW,23,RFA,"$775,000",775000.0,72,0.24,0.62,31,1.24,1290000,780000,3180000,1,1,3,515000.0
David Kampf,David Kampf,C,31,UFA,"$1,100,000",1100000.0,59,0.34,0.09,13,1.21,1270000,780000,3160000,1,1,3,170000.0
Yegor Zamula,Egor Zamula,D,26,RFA,"$1,000,000",1000000.0,63,0.08,0.15,15,1.21,1260000,780000,3150000,2,1,3,260000.0
Mike Reilly,Mike Reilly,D,32,UFA,"$1,100,000",1100000.0,18,1.19,0.15,2,1.18,1240000,780000,3130000,1,1,2,140000.0
Dryden Hunt,Dryden Hunt,LW,31,UFA,"$825,000",825000.0,5,0.03,0.0,3,1.16,1210000,780000,3100000,1,1,3,385000.0
Haydn Fleury,Haydn Fleury,D,30,UFA,"$950,000",950000.0,39,-0.54,0.31,7,1.16,1210000,780000,3100000,2,1,3,260000.0
Carl Grundstrom,Carl Grundstrom,LW,28,UFA,"$1,800,000",1800000.0,56,-0.02,0.04,9,1.16,1210000,780000,3100000,2,1,3,-590000.0
Matt Dumba,Matt Dumba,D,31,UFA,"$3,750,000",3750000.0,63,0.06,0.07,10,1.14,1190000,780000,3080000,1,1,3,-2560000.0
Matt Grzelcyk,Matt Grzelcyk,D,32,UFA,"$1,000,000",1000000.0,82,0.22,0.04,40,1.14,1190000,780000,3080000,1,1,3,190000.0
Erik Gustafsson,Erik Gustafsson,D,34,UFA,"$2,000,000",2000000.0,60,-0.03,0.0,18,1.12,1170000,780000,3050000,1,1,3,-830000.0
Joseph Veleno,Joe Veleno,C,26,RFA,"$900,000",900000.0,74,0.3,0.05,17,1.1,1150000,780000,3030000,1,1,3,250000.0
Lars Eller,Lars Eller,C,37,UFA,"$1,250,000",1250000.0,80,0.07,0.16,22,1.09,1140000,780000,3030000,1,1,3,-110000.0
Filip Chytil,Filip Chytil,C,27,UFA,"$4,437,500",4437500.0,56,0.14,0.0,26,1.09,1140000,780000,3020000,2,1,4,-3297500.0
Brent Burns,Brent Burns,D,41,UFA,"$1,000,000",1000000.0,82,4.64,0.62,29,1.04,1090000,780000,2980000,1,1,3,90000.0
Evgenii Dadonov,Evgenii Dadonov,RW,37,UFA,"$1,000,000",1000000.0,80,-0.2,0.14,40,1.03,1070000,780000,2960000,1,1,2,70000.0
James van Riemsdyk,James van Riemsdyk,LW,37,UFA,"$1,000,000",1000000.0,71,0.81,0.33,36,1.03,1070000,780000,2960000,1,1,3,70000.0
Travis Hamonic,Travis Hamonic,D,35,UFA,"$1,000,000",1000000.0,59,-0.11,0.16,7,0.98,1030000,780000,2920000,1,1,2,30000.0
Vinnie Hinostroza,Vinnie Hinostroza,RW,32,UFA,"$775,000",775000.0,38,-0.49,0.16,10,0.97,1020000,780000,2910000,2,1,3,245000.0
Vincent Desharnais,Vincent Desharnais,D,30,UFA,"$2,000,000",2000000.0,51,0.18,0.69,3,0.97,1010000,780000,2900000,2,1,3,-990000.0
Nick Leddy,Nick Leddy,D,35,UFA,"$4,000,000",4000000.0,31,-0.17,0.18,5,0.95,1000000,780000,2880000,1,1,2,-3000000.0
Kirby Dach,Kirby Dach,C,25,RFA,"$3,362,500",3362500.0,57,0.73,-0.05,22,0.95,990000,780000,2880000,1,1,3,-2372500.0
Matt Benning,Matt Benning,D,32,UFA,"$1,250,000",1250000.0,7,0.03,0.0,0,0.94,980000,780000,2870000,1,1,3,-270000.0
Kailer Yamamoto,Kailer Yamamoto,RW,27,UFA,"$775,000",775000.0,12,1.32,0.18,3,0.92,960000,780000,2850000,2,1,3,185000.0
Walker Duehr,Walker Duehr,RW,28,UFA,"$775,000",775000.0,24,0.02,0.0,3,0.91,950000,780000,2840000,1,1,3,175000.0
Tobias Bjornfot,Tobias Bjornfot,D,25,RFA,"$775,000",775000.0,14,0.32,0.15,0,0.91,950000,780000,2830000,1,1,3,175000.0
Pierre-Olivier Joseph,Pierre Olivier Joseph,D,27,RFA,"$775,000",775000.0,47,0.07,0.14,3,0.9,940000,780000,2820000,1,1,3,165000.0
Urho Vaakanainen,Urho Vaakanainen,D,28,UFA,"$1,550,000",1550000.0,51,0.05,0.13,16,0.9,940000,780000,2830000,2,1,3,-610000.0
Hendrix Lapierre,Hendrix Lapierre,C,24,RFA,"$850,000",850000.0,27,0.8,0.07,8,0.9,940000,780000,2830000,1,1,3,90000.0
Tomas Nosek,Tomas Nosek,LW,33,UFA,"$775,000",775000.0,59,0.01,0.49,9,0.9,940000,780000,2820000,1,1,3,165000.0
Tyson Jost,Tyson Jost,C,28,UFA,"$775,000",775000.0,39,0.18,0.16,9,0.89,930000,780000,2820000,1,1,3,155000.0
Jansen Harkins,Jansen Harkins,C,29,UFA,"$787,500",787500.0,62,0.22,0.11,6,0.89,930000,780000,2810000,1,1,3,142500.0
Dennis Gilbert,Dennis Gilbert,D,29,UFA,"$875,000",875000.0,29,0.17,0.0,6,0.88,920000,780000,2810000,1,1,3,45000.0
Max Jones,Max Jones,LW,28,UFA,"$1,000,000",1000000.0,26,0.07,0.0,2,0.88,920000,780000,2800000,1,1,3,-80000.0
Juuso Parssinen,Juuso Parssinen,C,26,RFA,"$1,250,000",1250000.0,48,-0.16,0.04,16,0.88,920000,780000,2800000,1,1,3,-330000.0
Henry Thrun,Henry Thrun,D,25,RFA,"$1,000,000",1000000.0,60,-0.09,0.2,12,0.87,910000,780000,2800000,1,1,3,-90000.0
Raphael Lavoie,Raphael Lavoie,C,25,UFA,"$775,000",775000.0,9,-0.01,0.0,0,0.87,910000,780000,2800000,1,1,3,135000.0
Luke Kunin,Luke Kunin,C,28,UFA,"$775,000",775000.0,75,-0.08,-0.09,18,0.87,910000,780000,2800000,1,1,3,135000.0
Daemon Hunt,Daemon Hunt,D,24,RFA,"$775,000",775000.0,1,-0.01,0.15,0,0.86,900000,780000,2790000,1,1,3,125000.0
Zack MacEwen,Zack MacEwen,C,29,UFA,"$775,000",775000.0,21,0.02,0.0,3,0.86,900000,780000,2790000,1,1,3,125000.0
Josh Mahura,Josh Mahura,D,29,UFA,"$907,500",907500.0,64,-0.28,0.31,9,0.86,900000,780000,2790000,1,1,3,-7500.0
Kurtis MacDermid,Kurtis MacDermid,LW,33,UFA,"$1,150,000",1150000.0,23,-0.3,0.0,0,0.85,890000,780000,2780000,2,1,3,-260000.0
Liam O'Brien,Liam O'Brien,LW,32,UFA,"$1,000,000",1000000.0,28,-0.11,0.03,2,0.85,890000,780000,2770000,1,1,3,-110000.0
