player_id,player_name,position,age,GP,curr_WAR,curr_WAR_82,age_next,curr_goals,curr_points,proj_WAR,proj_WAR_82,proj_WAR_lo,proj_WAR_hi,proj_Points,proj_Goals,proj_GP,proj_EV_O_GAR,proj_EV_D_GAR,proj_PP_GAR,proj_PK_GAR,war_delta
8477492,Nathan MacKinnon,C,31.0,64,4.94,6.33,32.0,32.0,116.0,3.2,3.23,2.17,4.23,99.62,39.94,71,0.23,0.02,0.7,-0.02,-1.7400000000000002
8476453,Nikita Kucherov,R,33.0,61,3.98,5.35,34.0,37.0,121.0,2.59,2.61,1.56,3.62,83.03,33.64,69,0.18,0.0,0.9,-0.08,-1.3900000000000001
8478402,Connor McDavid,C,29.0,67,3.33,4.08,30.0,26.0,100.0,2.16,2.19,1.13,3.19,79.2,31.51,72,0.18,-0.04,1.4,0.02,-1.17
8475786,Zach Hyman,C,34.0,48,2.51,4.29,35.0,27.0,44.0,2.03,2.06,1.0,3.06,44.47,19.61,66,0.13,-0.03,0.54,-0.04,-0.48
8480039,Martin Necas,C,27.0,62,2.79,3.69,28.0,27.0,83.0,1.97,1.98,0.94,3.01,74.29,30.16,70,0.11,-0.03,1.91,0.0,-0.8200000000000001
8479542,Brandon Hagel,L,28.0,60,2.71,3.7,29.0,35.0,90.0,1.91,1.93,0.88,2.94,53.7,22.43,71,0.13,0.0,0.41,-0.15,-0.8
8478403,Jack Eichel,C,30.0,59,2.6,3.61,31.0,28.0,94.0,1.87,1.91,0.84,2.9,60.87,24.39,69,0.16,-0.02,1.37,0.02,-0.73
8477934,Leon Draisaitl,C,31.0,64,2.83,3.63,32.0,52.0,106.0,1.87,1.91,0.84,2.9,73.85,29.03,69,0.16,-0.05,1.47,0.02,-0.96
8478010,Brayden Point,C,30.0,47,2.01,3.51,31.0,42.0,82.0,1.84,1.83,0.81,2.87,49.96,20.58,63,0.13,-0.02,1.68,-0.01,-0.1699999999999997
8479318,Auston Matthews,C,29.0,60,2.5,3.42,30.0,33.0,78.0,1.79,1.8,0.75,2.82,53.19,22.42,68,0.14,-0.02,0.43,0.03,-0.71
8480801,Brady Tkachuk,L,27.0,45,1.83,3.33,28.0,29.0,55.0,1.72,1.73,0.69,2.75,33.98,15.19,66,0.12,-0.02,0.53,0.04,-0.1100000000000001
8478398,Kyle Connor,L,30.0,65,2.65,3.34,31.0,41.0,97.0,1.71,1.73,0.68,2.75,68.8,27.32,69,0.16,-0.03,1.22,0.02,-0.94
8478427,Sebastian Aho,R,29.0,66,2.61,3.24,30.0,29.0,74.0,1.69,1.7,0.66,2.72,58.78,23.81,71,0.14,-0.0,0.37,0.19,-0.9199999999999999
8482093,Seth Jarvis,C,24.0,58,2.12,3.0,25.0,32.0,67.0,1.61,1.61,0.58,2.64,43.96,18.71,71,0.1,-0.0,0.28,0.01,-0.51
8477476,Artturi Lehkonen,L,31.0,59,2.32,3.22,32.0,27.0,45.0,1.59,1.61,0.56,2.63,52.88,21.88,67,0.09,-0.0,-0.2,0.04,-0.7299999999999998
8479420,Tage Thompson,C,29.0,67,2.36,2.89,30.0,44.0,72.0,1.51,1.54,0.48,2.54,58.28,24.39,68,0.11,-0.02,1.01,0.02,-0.8499999999999999
8477500,Bo Horvat,C,31.0,53,1.92,2.97,32.0,28.0,57.0,1.49,1.5,0.46,2.52,44.78,18.54,68,0.12,-0.0,0.13,0.03,-0.42999999999999994
8471214,Alex Ovechkin,L,41.0,68,2.66,3.21,42.0,44.0,73.0,1.49,1.47,0.46,2.52,56.88,23.8,65,0.06,-0.08,0.68,-0.16,-1.1700000000000002
8477956,David Pastrnak,R,30.0,61,2.14,2.88,31.0,43.0,106.0,1.49,1.51,0.46,2.53,62.14,24.56,66,0.13,-0.04,1.36,0.01,-0.6500000000000001
8477964,Ivan Barbashev,C,31.0,67,2.44,2.99,32.0,23.0,51.0,1.48,1.49,0.45,2.51,46.47,20.2,64,0.11,-0.01,-0.17,0.03,-0.96
8477935,Sam Bennett,C,30.0,65,2.33,2.94,31.0,25.0,51.0,1.47,1.49,0.44,2.5,51.81,22.17,68,0.1,-0.01,0.35,-0.04,-0.8600000000000001
