trade_id,year,team_1,team_2,side_1_assets,side_2_assets,side_1_value,side_2_value,imbalance,abs_imbalance,side_1_picks,side_1_players,side_2_picks,side_2_players
1,2020,Senators,Sharks,1,5,-4491387.773781266,2824912.135938637,-7316299.909719903,7316299.909719903,0,1,2,3
2,2020,Hurricanes,Maple Leafs,1,2,664605.9207996923,1443700.1978772487,-779094.2770775565,779094.2770775565,1,0,1,1
3,2020,Maple Leafs,Penguins,2,4,80109.62317592169,3687580.899392495,-3607471.276216573,3607471.276216573,0,2,1,3
4,2020,Devils,Coyotes,2,1,-2481114.4816544093,1708126.931488379,-4189241.413142788,4189241.413142788,0,2,0,1
5,2020,Rangers,Flames,2,1,3285780.141843972,2328333.3333333335,957446.8085106383,957446.8085106383,2,0,1,0
6,2020,Lightning,Canucks,1,1,0.0,957446.8085106383,-957446.8085106383,957446.8085106383,0,1,1,0
7,2020,Rangers,Hurricanes,1,1,-408878.0390931621,2328333.3333333335,-2737211.3724264954,2737211.3724264954,0,1,1,0
8,2020,Flames,Capitals,1,2,2328333.3333333335,3285780.141843972,-957446.8085106383,957446.8085106383,1,0,2,0
9,2020,Ducks,Bruins,1,2,2089730.8007076425,2328333.3333333335,-238602.53262569103,238602.53262569103,0,1,1,1
10,2020,Senators,Islanders,1,2,-1307308.336763149,2282919.445818148,-3590227.7825812967,3590227.7825812967,0,1,2,0
11,2020,Sharks,Lightning,2,2,-1473961.8910026867,2328333.3333333335,-3802295.22433602,3802295.22433602,1,1,1,1
12,2020,Sabres,Sharks,2,1,2688468.6539316922,1546195.2164316922,1142273.4375,1142273.4375,2,0,1,0
13,2020,Predators,Devils,1,3,0.0,2832445.8598201033,-2832445.8598201033,2832445.8598201033,0,1,2,1
14,2020,Sharks,Sabres,1,2,1546195.2164316922,2688468.6539316922,-1142273.4375,1142273.4375,1,0,2,0
15,2020,Hurricanes,Rangers,1,1,-322934.19088418846,1546195.2164316922,-1869129.4073158808,1869129.4073158808,0,1,1,0
16,2020,Senators,Maple Leafs,2,1,2503642.0249423306,1546195.2164316922,957446.8085106383,957446.8085106383,2,0,1,0
17,2020,Red Wings,Oilers,2,3,-947255.4541070957,4283568.560264334,-5230824.01437143,5230824.01437143,0,2,2,1
18,2020,Golden Knights,"select 
Marc-Andre Fleury in expansion draft to Penguins",0,1,0.0,1546195.2164316922,-1546195.2164316922,1546195.2164316922,0,0,1,0
19,2020,Canadiens,Blackhawks,2,3,582987.6498242914,3050666.7587319445,-2467679.108907653,2467679.108907653,1,1,3,0
20,2020,Kings,Canucks,1,2,-354726.60233064176,2425137.535222089,-2779864.1375527307,2779864.1375527307,0,1,2,0
21,2020,Senators,Blue Jackets,2,3,1110180.8979731011,3241274.005883931,-2131093.10791083,2131093.10791083,1,1,2,1
22,2020,Red Wings,Capitals,2,2,737888.1490671486,1843073.9024510433,-1105185.7533838947,1105185.7533838947,1,1,1,1
23,2020,Capitals,Avalanche,1,3,236653.16552671543,2503642.0249423306,-2266988.859415615,2266988.859415615,0,1,2,1
24,2020,Canadiens,Blues,1,2,-2025095.4612166279,2548189.459852745,-4573284.921069372,4573284.921069372,0,1,2,0
25,2020,Senators,Islanders,1,2,-1307308.336763149,2282919.445818148,-3590227.7825812967,3590227.7825812967,0,1,2,0
26,2020,Kings,Golden Knights,1,2,-1963100.6036248927,2902506.809792826,-4865607.413417718,4865607.413417718,0,1,2,0
27,2020,Golden Knights,Stars,1,2,0.0,1546195.2164316922,-1546195.2164316922,1546195.2164316922,0,1,1,1
28,2020,Maple Leafs,Senators,1,2,1546195.2164316922,2503642.0249423306,-957446.8085106383,957446.8085106383,1,0,2,0
29,2020,Red Wings,Sharks,1,1,-1945868.9496570437,1546195.2164316922,-3492064.1660887357,3492064.1660887357,0,1,1,0
30,2020,Golden Knights,Devils,1,2,573983.4078800941,2313758.4018717716,-1739774.9939916774,1739774.9939916774,0,1,2,0
31,2020,Hurricanes,Sabres,1,3,-4262002.187604688,3168247.9457420227,-7430250.13334671,7430250.13334671,0,1,3,0
32,2020,Predators,Wild,1,1,957446.8085106383,957446.8085106383,0.0,0.0,1,0,1,0
33,2020,Senators,Jets,1,1,993131.5609496835,957446.8085106383,35684.75243904523,35684.75243904523,0,1,1,0
34,2020,Flames,Rangers,1,2,2328333.3333333335,3285780.141843972,-957446.8085106383,957446.8085106383,1,0,2,0
35,2020,Avalanche,Maple Leafs,2,3,834009.5456613046,1631313.0200620196,-797303.474400715,797303.474400715,1,1,1,2
36,2020,Sharks,Oilers,2,1,2130645.5305232555,957446.8085106383,1173198.7220126172,1173198.7220126172,2,0,1,0
37,2020,Blue Jackets,Canadiens,1,2,-2567207.0770677566,648416.3154916598,-3215623.3925594166,3215623.3925594166,0,1,1,1
38,2020,Avalanche,Coyotes,1,2,0.0,1202264.7973391893,-1202264.7973391893,1202264.7973391893,0,1,1,1
39,2020,Blackhawks,Flames,1,1,2867957.3746526786,957446.8085106383,1910510.5661420403,1910510.5661420403,0,1,1,0
40,2020,Senators,Blue Jackets,1,1,-961226.6320720034,957446.8085106383,-1918673.4405826419,1918673.4405826419,0,1,1,0
41,2020,Devils,Hurricanes,1,4,0.0,2207402.2280670605,-2207402.2280670605,2207402.2280670605,0,1,2,2
42,2020,Sharks,Flyers,1,2,-323925.2354410991,2503642.0249423306,-2827567.2603834295,2827567.2603834295,0,1,2,0
43,2020,Canadiens,Capitals,1,1,-219469.32834066707,957446.8085106383,-1176916.1368513054,1176916.1368513054,0,1,1,0
44,2020,Panthers,Avalanche,2,1,2288481.256310877,957446.8085106383,1331034.4478002386,1331034.4478002386,1,1,1,0
45,2020,Rangers,Stars,1,0,-2183800.559991046,0.0,-2183800.559991046,2183800.559991046,0,1,0,0
46,2020,Lightning,Red Wings,1,1,-771768.0397585289,1142273.4374999998,-1914041.4772585286,1914041.4772585286,0,1,1,0
47,2020,Panthers,Senators,1,1,195517.25016200417,1142273.4374999998,-946756.1873379956,946756.1873379956,0,1,1,0
48,2020,Canadiens,Sharks,1,1,1142273.4374999998,1142273.4374999998,0.0,0.0,1,0,1,0
49,2020,Red Wings,Kings,1,2,1546195.2164316922,2688468.6539316922,-1142273.4375,1142273.4375,1,0,2,0
50,2020,Canadiens,Ducks,1,1,-353014.05445669004,1142273.4374999998,-1495287.4919566899,1495287.4919566899,0,1,1,0
51,2020,Sharks,Sabres,1,2,1546195.2164316922,2688468.6539316922,-1142273.4375,1142273.4375,1,0,2,0
52,2020,Predators,Wild,3,2,1941975.8733075685,815497.0270395859,1126478.8462679826,1126478.8462679826,2,1,1,1
53,2020,Canadiens,Jets,0,3,0.0,1806879.3582996922,-1806879.3582996922,1806879.3582996922,0,0,2,1
