id,ageInDays,ageInDaysForYear,ageInYears,amateurClubName,amateurLeague,birthDate,birthPlace,countryCode,csPlayerId,draftDate,draftMasterId,draftYear,draftedByTeamId,firstName,height,lastName,notes,overallPickNumber,pickInRound,playerId,playerName,position,removedOutright,removedOutrightWhy,roundNumber,shootsCatches,supplementalDraft,teamPickHistory,triCode,weight
1431,6567.0,357.0,17.0,Rimouski,QMJHL,1987-08-07,"Cole Harbour, NS  CAN",CAN,5159.0,2005-07-30,52,2005,5,Sidney,71.0,Crosby,,1,1,8471675.0,Sidney Crosby,C,N,,1,L,N,PIT,PIT,200.0
1432,6710.0,135.0,18.0,Owen Sound,OHL,1987-03-17,"Cherry Hill, NJ  USA",USA,21395.0,2005-07-30,52,2005,24,Bobby,74.0,Ryan,,2,2,8471676.0,Bobby Ryan,RW,N,,1,R,N,ANA,ANA,208.0
1476,6773.0,198.0,18.0,USA U-18,USA,1987-01-13,"Indianapolis, IN  USA",USA,11833.0,2005-07-30,52,2005,12,Jack,73.0,Johnson,,3,3,8471677.0,Jack Johnson,D,N,,1,L,N,CAR,CAR,219.0
1477,6879.0,304.0,18.0,Sudbury,OHL,1986-09-29,"Alfred, ON  CAN",CAN,19917.0,2005-07-30,52,2005,30,Benoit,75.0,Pouliot,,4,4,8471678.0,Benoit Pouliot,LW,N,,1,L,N,MIN,MIN,199.0
1433,6558.0,348.0,17.0,Tri-City,WHL,1987-08-16,"Anahim Lake, BC  CAN",CAN,19991.0,2005-07-30,52,2005,8,Carey,75.0,Price,,5,5,8471679.0,Carey Price,G,N,,1,L,N,MTL,MTL,219.0
1434,6785.0,210.0,18.0,Vancouver,WHL,1987-01-01,"Edmonton, AB  CAN",CAN,2971.0,2005-07-30,52,2005,29,Gilbert,71.0,Brule,,6,6,8471680.0,Gilbert Brule,C,N,,1,R,N,CBJ,CBJ,186.0
1435,6647.0,72.0,18.0,USA U-18,USA,1987-05-19,"Madison, WI  USA",USA,22684.0,2005-07-30,52,2005,16,Jack,73.0,Skille,,7,7,8471681.0,Jack Skille,RW,N,,1,R,N,CHI,CHI,215.0
1425,6785.0,210.0,18.0,Saskatoon,WHL,1987-01-01,"Taber, AB  CAN",CAN,22224.0,2005-07-30,52,2005,28,Devin,72.0,Setoguchi,,8,8,8471682.0,Devin Setoguchi,RW,N,,1,R,N,ATL-SJS,SJS,200.0
1436,6701.0,126.0,18.0,Moorhead,USHSW,1987-03-26,"Moorhead, MN  USA",USA,14017.0,2005-07-30,52,2005,9,Brian,75.0,Lee,,9,9,8471683.0,Brian Lee,D,N,,1,R,N,OTT,OTT,208.0
1437,6739.0,164.0,18.0,Val d'Or,QMJHL,1987-02-16,"Shippagan, NB  CAN",CAN,2411.0,2005-07-30,52,2005,23,Luc,75.0,Bourdon,,10,10,8471684.0,Luc Bourdon,D,N,,1,L,N,VAN,VAN,211.0
1442,6550.0,340.0,17.0,Sodertalje Jr.,SWEDEN-JR.,1987-08-24,"Jesenice, Slovenia",SVN,37407.0,2005-07-30,52,2005,26,Anze,75.0,Kopitar,,11,11,8471685.0,Anze Kopitar,C,N,,1,L,N,LAK,LAK,227.0
1443,6773.0,198.0,18.0,Sudbury,OHL,1987-01-13,"Thunder Bay, ON  CAN",CAN,23269.0,2005-07-30,52,2005,3,Marc,76.0,Staal,,12,12,8471686.0,Marc Staal,D,N,,1,L,N,SJS-ATL-NYR,NYR,208.0
1444,6811.0,236.0,18.0,Chicoutimi,QMJHL,1986-12-06,"Presov, Slovakia",SVK,51753.0,2005-07-30,52,2005,7,Marek,73.0,Zagrapan,,13,13,8471687.0,Marek Zagrapan,C,N,,1,L,N,BUF,BUF,195.0
1445,7006.0,66.0,19.0,Cornell U.,ECAC,1986-05-25,"Montreal, QC  CAN",CAN,19779.0,2005-07-30,52,2005,15,Sasha,77.0,Pokulok,,14,14,8471688.0,Sasha Pokulok,D,N,,1,L,N,WSH,WSH,220.0
1426,6626.0,51.0,18.0,Erie,OHL,1987-06-09,"Tokyo, Japan",JPN,18378.0,2005-07-30,52,2005,2,Ryan,74.0,O'Marra,,15,15,8471689.0,Ryan O'Marra,C,N,,1,R,N,NYI,NYI,220.0
1446,6873.0,298.0,18.0,Lewiston,QMJHL,1986-10-05,"Drummondville, QC  CAN",CAN,2445.0,2005-07-30,52,2005,11,Alex,70.0,Bourret,,16,16,8471690.0,Alex Bourret,RW,N,,1,L,N,NYR-ATL,ATL,205.0
1478,6735.0,160.0,18.0,Budejovice Jr.,CZE JR.,1987-02-20,"Pisek, Czech Republic",CZE,10060.0,2005-07-30,52,2005,27,Martin,78.0,Hanzal,,17,17,8471691.0,Martin Hanzal,C,N,,1,L,N,PHX,PHX,230.0
1479,6710.0,135.0,18.0,Guelph,OHL,1987-03-17,"Prince Albert, SK  CAN",CAN,18893.0,2005-07-30,52,2005,18,Ryan,75.0,Parent,,18,18,8471692.0,Ryan Parent,D,N,,1,L,N,NSH,NSH,198.0
1480,6745.0,170.0,18.0,Kitchener,OHL,1987-02-10,"Sumperk, Czech Republic",CZE,12562.0,2005-07-30,52,2005,17,Jakub,75.0,Kindl,,19,19,8471693.0,Jakub Kindl,D,N,,1,L,N,DET,DET,199.0
1493,6782.0,207.0,18.0,Moose Jaw,WHL,1987-01-04,"Toronto, ON  CAN",CAN,15983.0,2005-07-30,52,2005,13,Kenndal,71.0,McArdle,,20,20,8471694.0,Kenndal McArdle,LW,N,,1,L,N,PHI-FLA,FLA,190.0
1427,6717.0,142.0,18.0,Ilves Jr.,Finland Jr.,1987-03-10,"Savonlinna, Finland",FIN,44982.0,2005-07-30,52,2005,10,Tuukka,75.0,Rask,,21,21,8471695.0,Tuukka Rask,G,N,,1,L,N,TOR,TOR,169.0
