goalie_id,goalie_name,season,shots_faced,goals_against,xGA,sv_pct,GSAx,GSAx_adj,GOALIE_GAR,GOALIE_WAR,season_label
8471679,Carey Price,2015,2305,158,148.33,0.93,-9.67,30.07,39.83,6.64,2014-15
8471239,Cory Schneider,2015,1979,147,136.18,0.93,-10.82,23.31,31.68,5.28,2014-15
8474651,Braden Holtby,2015,2447,179,157.77,0.93,-21.23,20.96,31.32,5.22,2014-15
8470645,Corey Crawford,2015,2272,173,152.64,0.92,-20.36,18.81,28.43,4.74,2014-15
8470594,Marc Andre Fleury,2015,1968,157,141.84,0.92,-15.16,18.77,27.1,4.52,2014-15
8468685,Henrik Lundqvist,2015,1899,144,128.28,0.92,-15.72,17.02,25.06,4.18,2014-15
8471750,Ben Bishop,2015,2275,186,161.84,0.92,-24.16,15.07,24.7,4.12,2014-15
8473461,Steve Mason,2015,1491,108,99.91,0.93,-8.09,17.61,23.93,3.99,2014-15
8471227,Devan Dubnyk,2015,1876,139,120.61,0.93,-18.39,13.96,21.9,3.65,2014-15
8475663,Eddie Lack,2015,1278,104,94.28,0.92,-9.72,12.31,17.72,2.95,2014-15
8473575,Semyon Varlamov,2015,1777,140,119.16,0.92,-20.84,9.8,17.32,2.89,2014-15
8471715,Ondrej Pavelec,2015,1490,123,108.32,0.92,-14.68,11.01,17.31,2.88,2014-15
8477202,Andrew Hammond,2015,788,49,48.67,0.94,-0.33,13.26,16.59,2.76,2014-15
8475717,Calvin Pickard,2015,511,35,39.02,0.93,4.02,12.83,15.0,2.5,2014-15
8470860,Jaroslav Halak,2015,1878,156,130.23,0.92,-25.77,6.61,14.56,2.43,2014-15
8474550,Antti Niemi,2015,1798,155,129.16,0.91,-25.84,5.16,12.78,2.13,2014-15
8471734,Jonathan Quick,2015,1892,155,126.76,0.92,-28.24,4.39,12.4,2.07,2014-15
8471695,Tuukka Rask,2015,2012,156,125.1,0.92,-30.9,3.78,12.3,2.05,2014-15
8475660,Cam Talbot,2015,1038,77,66.69,0.93,-10.31,7.59,11.99,2.0,2014-15
8466141,Roberto Luongo,2015,1741,138,111.76,0.92,-26.24,3.78,11.15,1.86,2014-15
8474152,Scott Darling,2015,590,38,36.5,0.94,-1.5,8.67,11.17,1.86,2014-15
8473541,Jonathan Bernier,2015,1735,152,125.37,0.91,-26.63,3.28,10.63,1.77,2014-15
8467950,Craig Anderson,2015,1277,91,73.29,0.93,-17.71,4.31,9.72,1.62,2014-15
8473972,Jonas Hiller,2015,1543,127,103.07,0.92,-23.93,2.67,9.2,1.53,2014-15
8477293,Antti Raanta,2015,388,24,23.86,0.94,-0.14,6.54,8.19,1.36,2014-15
8475852,Petr Mrazek,2015,953,77,64.47,0.92,-12.53,3.9,7.94,1.32,2014-15
8471469,Pekka Rinne,2015,2015,158,121.28,0.92,-36.72,-1.98,6.56,1.09,2014-15
8473607,Michal Neuvirth,2015,1073,91,74.41,0.92,-16.59,1.91,6.46,1.08,2014-15
8475683,Sergei Bobrovsky,2015,1625,133,103.22,0.92,-29.78,-1.76,5.12,0.85,2014-15
8476844,Niklas Svedberg,2015,423,34,29.93,0.92,-4.07,3.23,5.02,0.84,2014-15
8476316,Laurent Brossoit,2015,51,2,5.18,0.96,3.18,4.06,4.27,0.71,2014-15
8476883,Andrei Vasilevskiy,2015,473,40,33.97,0.92,-6.03,2.13,4.13,0.69,2014-15
8471403,Karri Ramo,2015,1025,91,72.94,0.91,-18.06,-0.39,3.95,0.66,2014-15
8474596,Jake Allen,2015,1034,91,72.76,0.91,-18.24,-0.41,3.97,0.66,2014-15
8470147,Curtis McElhinney,2015,949,82,65.5,0.91,-16.5,-0.14,3.88,0.65,2014-15
8470880,Brian Elliott,2015,1158,96,74.8,0.92,-21.2,-1.24,3.67,0.61,2014-15
8477084,Mackenzie Skapski,2015,45,1,3.52,0.98,2.52,3.3,3.49,0.58,2014-15
8474636,Michael Hutchinson,2015,970,85,67.58,0.91,-17.42,-0.69,3.41,0.57,2014-15
8473614,Richard Bachman,2015,168,15,13.16,0.91,-1.84,1.05,1.77,0.3,2014-15
8474591,Tom McCollum,2015,25,1,2.18,0.96,1.18,1.61,1.72,0.29,2014-15
8477234,Troy Grosenick,2015,58,3,3.26,0.95,0.26,1.26,1.5,0.25,2014-15
8473499,Reto Berra,2015,386,33,25.76,0.91,-7.24,-0.58,1.05,0.18,2014-15
8471774,Alex Stalock,2015,554,54,43.13,0.9,-10.87,-1.32,1.03,0.17,2014-15
8473503,James Reimer,2015,1001,93,72.38,0.91,-20.62,-3.36,0.88,0.15,2014-15
8476904,Chris Driedger,2015,10,0,0.35,1.0,0.35,0.52,0.57,0.09,2014-15
8476992,Marek Mazanec,2015,47,4,3.52,0.91,-0.48,0.33,0.53,0.09,2014-15
8476434,John Gibson,2015,671,57,43.05,0.92,-13.95,-2.39,0.46,0.08,2014-15
8473553,Jeff Zatkoff,2015,17,1,1.07,0.94,0.07,0.36,0.43,0.07,2014-15
8475839,Louis Domingue,2015,158,14,11.02,0.91,-2.98,-0.26,0.41,0.07,2014-15
8477092,Andrey Makarov,2015,36,3,2.42,0.92,-0.58,0.04,0.19,0.03,2014-15
8474682,Dustin Tokarski,2015,507,46,35.23,0.91,-10.77,-2.02,0.12,0.02,2014-15
8475361,Jonas Gustavsson,2015,168,15,11.41,0.91,-3.59,-0.7,0.02,0.0,2014-15
8475883,Frederik Andersen,2015,1894,161,120.32,0.92,-40.68,-8.03,-0.01,-0.0,2014-15
8474690,Kevin Poulin,2015,26,3,1.91,0.88,-1.09,-0.65,-0.54,-0.09,2014-15
