player_id,xGF_O,xGF_D,xGF_net,xGF_O_se,xGF_D_se,GF_O,GF_D,GF_net,GF_O_se,GF_D_se,SOG_O,SOG_D,SOG_net,SOG_O_se,SOG_D_se,TO_O,TO_D,TO_net,TO_O_se,TO_D_se,GA_O,GA_D,GA_net,GA_O_se,GA_D_se,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,player_name,position,prior_O,prior_D,toi_5v5,toi_pp,toi_pk,PP_O,PK_D,PP_BPR,rapm_shift_O,rapm_shift_D,rapm_weight,total_BPR,pp_toi_frac,pk_toi_frac,total_BPR_adj
8470638,0.1978,0.2542,-0.0564,0.0424,0.0466,-0.7268,1.1535,-1.8803,0.0218,0.023,3.0024,0.5626,2.4399,0.0322,0.034,-0.2646,-1.9821,1.7174,0.0088,0.0093,-3.3719,-1.3625,-2.0094,0.0059,0.0062,0.7694,0.3595,1.1289,0.0226,0.0247,0.0335,Patrice.Bergeron,F,0.1016,0.0502,13761.6,2818.5,1854.4,0.678,0.0711,0.7491,0.6678,0.3093,0.536,0.9536,0.153,0.101,1.0175
8479325,0.1411,0.1264,0.0146,0.0428,0.0446,0.4947,0.7567,-0.262,0.0218,0.0229,1.2775,1.8501,-0.5726,0.0322,0.034,0.1004,-0.7182,0.8186,0.0088,0.0093,-0.9583,-0.9645,0.0061,0.0059,0.0062,0.4702,0.5792,1.0494,0.0228,0.0238,0.0329,Charlie.McAvoy,D,0.0579,0.0137,10115.8,1328.1,1019.2,0.0254,0.131,0.1564,0.4123,0.5655,0.552,0.8652,0.107,0.082,0.8984
8478569,0.1913,0.0976,0.0938,0.0521,0.052,-0.1833,0.6248,-0.8081,0.0219,0.0231,0.7415,1.8267,-1.0852,0.0322,0.034,0.2966,-0.1322,0.4288,0.0088,0.0093,-1.043,-0.424,-0.619,0.0059,0.0062,0.2908,0.5534,0.8442,0.0272,0.0273,0.0385,Noel.Acciari,F,0.0106,0.076,6423.8,51.699999999999996,1047.2,-0.0221,-0.0771,-0.0992,0.2802,0.4774,0.387,0.71,0.007,0.139,0.7065
8474009,0.068,0.1373,-0.0693,0.0464,0.046,0.0275,0.5022,-0.4747,0.0218,0.023,0.9311,1.2527,-0.3216,0.0322,0.034,1.2996,0.5869,0.7127,0.0088,0.0093,-0.2596,1.4975,-1.757,0.0059,0.0062,0.3313,0.3949,0.7262,0.0245,0.0244,0.0346,Nick.Bonino,F,0.0105,0.0696,10189.0,1282.2,1504.3999999999999,-0.1714,-0.0181,-0.1895,0.3208,0.3253,0.505,0.5512,0.099,0.116,0.598
8473422,0.0688,0.1277,-0.0588,0.0452,0.0461,0.1074,0.5508,-0.4434,0.0218,0.023,0.7647,1.0563,-0.2916,0.0322,0.034,0.3936,-0.3089,0.7025,0.0088,0.0093,-1.392,-1.3783,-0.0136,0.0059,0.0062,0.298,0.4155,0.7135,0.0239,0.0245,0.0342,Nick.Foligno,F,0.0314,0.0094,16034.5,2205.8,880.6,0.1164,0.008,0.1244,0.2666,0.4061,0.516,0.6121,0.115,0.046,0.6138
8479318,0.292,0.0986,0.1934,0.0421,0.0442,0.1651,0.1941,-0.029,0.0217,0.0229,0.2517,1.4837,-1.2321,0.0322,0.034,0.38,-0.2522,0.6322,0.0088,0.0093,-0.6187,-1.2085,0.5898,0.0059,0.0062,0.2737,0.438,0.7117,0.0225,0.0236,0.0326,Auston.Matthews,F,0.1463,0.0768,10810.4,1928.5,247.7,0.253,0.0461,0.2991,0.1274,0.3612,0.56,0.6309,0.148,0.019,0.6266
8478403,0.068,0.1241,-0.0561,0.0454,0.0462,0.6694,0.3141,0.3553,0.0218,0.023,1.5221,0.6931,0.829,0.0322,0.034,-0.9131,0.0273,-0.9404,0.0088,0.0093,-0.1971,-0.3909,0.1938,0.0059,0.0062,0.4224,0.2789,0.7013,0.024,0.0245,0.0343,Jack.Eichel,F,0.1048,0.005,10294.4,2121.1,495.2,0.2014,0.0408,0.2422,0.3176,0.2739,0.513,0.5938,0.164,0.038,0.613
8474716,0.1083,0.1376,-0.0293,0.0402,0.0413,0.3518,0.3978,-0.046,0.0217,0.0229,1.7726,0.0595,1.7132,0.0322,0.034,-0.0882,0.3934,-0.4816,0.0088,0.0093,-1.6089,0.6228,-2.2317,0.0059,0.0062,0.556,0.1403,0.6962,0.0216,0.0222,0.031,Jared.Spurgeon,D,0.0476,-0.0059,16893.3,2098.4,1882.9,0.3961,-0.0387,0.3574,0.5084,0.1462,0.602,0.5997,0.101,0.09,0.6199
8474565,0.1637,0.0123,0.1514,0.0382,0.0391,-0.3605,0.7764,-1.1369,0.0217,0.0228,1.966,0.0885,1.8775,0.0322,0.0339,1.2567,-1.4548,2.7115,0.0088,0.0093,-3.0489,1.153,-4.2018,0.0059,0.0062,0.6577,0.0087,0.6663,0.0206,0.0212,0.0296,Alex.Pietrangelo,D,0.0651,0.0116,19913.3,2622.9,2613.0,-0.1167,-0.0347,-0.1514,0.5926,-0.0029,0.638,0.5118,0.104,0.104,0.5509
8474673,0.0468,0.2104,-0.1636,0.039,0.0401,-0.4723,1.0638,-1.5361,0.0217,0.0229,0.1885,1.6749,-1.4864,0.0322,0.0339,2.2258,-2.3591,4.5849,0.0088,0.0093,-0.5802,-0.2457,-0.3345,0.0059,0.0062,0.1508,0.5015,0.6523,0.021,0.0217,0.0302,TJ.Brodie,D,0.0259,0.0053,17325.9,1215.1,1736.3,-0.148,-0.044,-0.192,0.1249,0.4962,0.623,0.5447,0.06,0.086,0.5358
