player_id,season,xGF_O,xGF_D,xGF_net,xGF_O_se,xGF_D_se,GF_O,GF_D,GF_net,GF_O_se,GF_D_se,SOG_O,SOG_D,SOG_net,SOG_O_se,SOG_D_se,TO_O,TO_D,TO_net,TO_O_se,TO_D_se,GA_O,GA_D,GA_net,GA_O_se,GA_D_se,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,player_name,position,prior_O,prior_D,toi_pk,toi_pp,toi_5v5,PP_O,PK_D,PP_BPR,blend_weight,rapm_shift_O,rapm_shift_D,total_BPR,pp_toi_frac,pk_toi_frac,total_BPR_adj
8475197,2015,0.0002,-0.1017,0.3313,0.0658,0.0675,1.0156,0.3835,1.5063,0.022,0.0232,2.3553,0.4212,1.3994,0.0323,0.034,0.3992,-0.9632,1.2804,0.0088,0.0093,-2.2719,0.9853,-2.9486,0.0059,0.0062,0.9093,0.0478,0.9571,0.0338,0.0347,0.0485,Tyson.Barrie,D,0.0714,-0.066,38.4,228.6,1448.1,0.4455,0.0037,0.4492,0.644,0.8379,0.1138,0.8676,0.133,0.022,0.8477
8476463,2015,-0.1978,0.1995,0.0394,0.0645,0.0673,0.0161,1.2554,-1.5675,0.022,0.0232,0.7981,2.1931,-1.6719,0.0323,0.034,1.8524,-0.3744,3.6153,0.0088,0.0093,-1.4004,-0.6403,-0.4678,0.0059,0.0062,0.4074,0.771,1.1784,0.0332,0.0347,0.048,Jonas.Brodin,D,0.0024,0.0009,114.6,7.1,1215.1,0.1181,-0.0733,0.0448,0.603,0.405,0.7701,1.0655,0.005,0.086,1.0014
8475848,2015,0.2819,0.1108,-0.0756,0.0648,0.0684,0.1498,0.5725,-1.0689,0.022,0.0232,0.9272,1.3378,-0.0208,0.0323,0.034,0.0474,-0.1047,0.248,0.0088,0.0093,-2.641,-2.7771,1.2083,0.0059,0.0062,0.4206,0.5368,0.9574,0.0333,0.0352,0.0485,Brendan.Gallagher,F,0.1438,0.0152,1.0,150.9,695.4,0.1043,-0.0133,0.091,0.465,0.2768,0.5216,0.8043,0.178,0.001,0.8175
8477932,2015,-0.0089,0.1677,0.1519,0.0655,0.069,1.5595,0.8343,0.8881,0.022,0.0232,2.1818,-0.6797,4.9502,0.0323,0.034,0.46,0.45,-0.2441,0.0088,0.0093,-0.7167,-0.8491,-1.0334,0.0059,0.0062,0.8574,0.0739,0.9313,0.0337,0.0355,0.0489,Aaron.Ekblad,D,0.069,-0.07,53.9,211.0,1345.4,0.183,0.0407,0.2237,0.627,0.7884,0.1439,0.8034,0.131,0.033,0.8059
8471303,2015,-0.0968,0.0722,0.2321,0.0651,0.0683,0.5691,1.1802,-0.4412,0.022,0.0232,2.3154,0.5647,1.5337,0.0323,0.034,-0.8252,0.6303,-2.2142,0.0088,0.0093,-1.2384,1.4662,-2.1027,0.0059,0.0062,0.6807,0.2815,0.9622,0.0335,0.0351,0.0485,Alexander.Edler,D,0.0468,0.0042,125.5,151.0,938.4,0.0973,-0.026,0.0713,0.54,0.6339,0.2773,0.7526,0.124,0.103,0.8201
8473986,2015,0.0421,0.0963,0.2427,0.067,0.071,0.6383,0.0542,0.6782,0.022,0.0232,1.1234,1.2067,-0.1323,0.0323,0.034,-0.6042,-0.4588,-1.0548,0.0088,0.0093,-2.1845,-1.2815,-0.196,0.0059,0.0062,0.4475,0.2434,0.6909,0.0344,0.0365,0.0501,Alex.Killorn,F,0.0429,-0.0244,34.6,178.1,1096.5,0.1506,0.0312,0.1818,0.578,0.4046,0.2678,0.6,0.136,0.026,0.5992
8470622,2015,0.0442,0.2744,-0.1611,0.0692,0.0731,0.2454,0.5314,-0.3616,0.022,0.0232,0.2137,1.4749,-2.8443,0.0323,0.034,-0.4678,-0.4001,0.198,0.0088,0.0093,-0.8897,-0.4284,-0.4036,0.0059,0.0062,0.117,0.451,0.568,0.0355,0.0375,0.0516,Patrick.Eaves,F,0.0362,-0.0101,17.0,103.9,566.5,0.2204,0.0097,0.2301,0.415,0.0808,0.4611,0.5017,0.151,0.025,0.4998
8475798,2015,0.166,0.0327,-0.0144,0.0661,0.0696,0.2636,0.2807,0.6851,0.022,0.0232,1.248,0.6747,0.5431,0.0323,0.034,-0.0312,-0.2544,-0.3596,0.0088,0.0093,-1.593,0.6758,-3.3335,0.0059,0.0062,0.4153,0.1774,0.5927,0.034,0.0358,0.0493,Mikael.Granlund,F,0.0413,0.0211,40.8,195.8,1141.7,0.2489,-0.0871,0.1618,0.588,0.374,0.1563,0.5237,0.142,0.03,0.5165
8470760,2015,-0.0847,0.0975,-0.2347,0.0668,0.0704,-0.2016,1.4288,-2.2939,0.022,0.0232,0.5815,0.3945,0.2576,0.0323,0.034,0.7448,0.5487,0.1624,0.0088,0.0093,-1.1893,-0.2814,-1.1495,0.0059,0.0062,0.2344,0.4763,0.7108,0.0343,0.0362,0.0498,Marc.Methot,D,0.0097,-0.0455,141.7,3.4,1225.9,-0.1041,0.0146,-0.0895,0.605,0.2247,0.5218,0.6368,0.002,0.103,0.593
8477444,2015,0.1107,-0.0226,-0.2937,0.0681,0.0717,0.6948,0.5246,0.1009,0.022,0.0232,0.7442,1.0514,-1.153,0.0323,0.034,-0.8867,-1.542,0.384,0.0088,0.0093,-0.3512,-0.7897,2.0638,0.0059,0.0062,0.23,0.3257,0.5557,0.0349,0.0368,0.0507,Andre.Burakovsky,F,0.0459,-0.009,0.3,59.4,947.2,-0.0541,0.0034,-0.0507,0.542,0.1841,0.3347,0.5196,0.059,0.0,0.4654
