season,player_id,player_name,position,toi_5v5,toi_pp,toi_pk,toi_all,xEV_O,xEV_D,FINISH_O,FINISH_D,xEV_O_GAR,xEV_D_GAR,FINISH_O_GAR,FINISH_D_GAR,EV_O_GAR,EV_D_GAR,PP_GAR,PK_GAR,PEN_GAR,FO_GAR,xGAR,GAR_above_avg,GAR,WAR,GAR_se,GAR_lo90,GAR_hi90,WAR_se,fo_won,fo_lost,pen_taken,pen_drawn
2015,8470794,Joe.Pavelski,F,1214.1,277.4,42.0,1624.2,0.2732,0.3022,0.5187,0.2712,5.53,6.12,10.18,5.49,15.71,11.61,1.35,0.04,0.98,0.16,14.18,29.85,38.75,6.46,3.42,33.12,44.38,0.57,330.0,289.0,14.0,18.0
2015,8474141,Patrick.Kane,F,1329.2,239.6,3.6,1672.9,-0.0418,-0.0369,0.8312,-0.0399,-0.93,-0.82,23.68,-0.88,22.75,-1.7,4.07,0.0,1.67,-0.06,3.93,26.73,35.85,5.98,3.69,29.78,41.92,0.62,7.0,23.0,15.0,23.0
2015,8475765,Vladimir.Tarasenko,F,1159.7,215.1,33.1,1491.0,0.3346,0.0021,0.4428,0.0895,6.47,0.04,14.92,1.73,21.39,1.77,1.47,0.01,1.8,0.0,9.79,26.44,34.61,5.77,3.24,29.28,39.94,0.54,0.0,0.0,16.0,25.0
2015,8476346,Johnny.Gaudreau,F,1217.0,260.7,4.2,1573.3,0.3264,0.0442,0.3914,0.1415,6.62,0.9,9.38,2.87,16.0,3.77,1.68,0.0,3.86,0.0,13.06,25.31,33.91,5.65,3.32,28.45,39.37,0.55,2.0,1.0,10.0,31.0
2015,8473419,Brad.Marchand,F,1097.5,109.4,151.1,1432.2,0.3738,0.1214,0.5351,0.0144,6.84,2.22,13.49,0.26,20.33,2.48,0.2,0.43,0.26,-0.02,9.93,23.68,31.56,5.26,3.1,26.46,36.66,0.52,6.0,11.0,33.0,33.0
2015,8471214,Alex.Ovechkin,F,1207.2,326.5,0.3,1604.4,0.2862,0.0138,0.5629,-0.0332,5.76,0.28,14.61,-0.67,20.37,-0.39,2.19,0.0,-0.04,0.0,8.19,22.13,31.03,5.17,3.38,25.47,36.59,0.56,0.0,0.0,25.0,23.0
2015,8476887,Filip.Forsberg,F,1140.4,206.2,139.5,1562.3,0.299,0.2665,0.2647,0.1384,5.68,5.07,5.77,2.63,11.45,7.7,-0.45,0.13,3.35,0.0,13.78,22.18,30.8,5.13,3.16,25.6,36.0,0.53,2.0,2.0,17.0,35.0
2015,8469455,Jason.Spezza,F,954.2,223.5,7.6,1238.8,0.4452,-0.0372,0.5793,0.0595,7.08,-0.59,13.47,0.95,20.55,0.36,1.35,-0.0,0.57,0.21,8.62,23.04,29.92,4.99,2.69,25.49,34.35,0.45,399.0,346.0,11.0,13.0
2015,8470613,Brent.Burns,D,1539.1,314.7,167.8,2119.8,0.1057,0.0869,0.4306,-0.0034,2.71,2.23,12.86,-0.09,15.57,2.14,0.69,0.25,-1.31,0.0,4.57,17.34,29.07,4.84,4.11,22.31,35.83,0.68,1.0,0.0,27.0,17.0
2015,8470638,Patrice.Bergeron,F,1102.6,227.9,167.3,1586.8,0.3237,0.2394,0.2144,0.0865,5.95,4.4,6.72,1.59,12.67,5.99,2.37,0.2,-1.92,0.7,11.7,20.01,28.7,4.78,3.35,23.19,34.21,0.56,745.0,571.0,23.0,10.0
