goalie_id,goalie_name,total_shots,total_ga,total_xGA,total_sv_pct,total_GSAx_adj,seasons_played,GOALIE_GAR,GOALIE_WAR
8476883,Andrei.Vasilevskiy,15796,1278,1139.2303754700001,0.919093441377564,180.0638518974566,9,250.6,41.77
8476945,Connor.Hellebuyck,14622,1221,1028.94596903,0.9164956914238818,104.57733184212194,8,169.87,28.31
8475683,Sergei.Bobrovsky,15173,1315,1096.77711587,0.9133328939563699,80.37998033462404,9,148.13,24.69
8470594,Marc.Andre.Fleury,15041,1270,1054.73289181,0.9155641247257497,78.7953134600156,9,145.96,24.33
8477424,Juuse.Saros,8922,724,636.6866415300001,0.9188522752746021,97.18032420050413,8,137.02,22.84
8478048,Igor.Shesterkin,5651,424,400.80483359999994,0.9249690320297292,95.69953140194536,4,120.93,20.16
8474651,Braden.Holtby,13631,1147,945.6153634,0.9158535690705011,57.077638559616275,8,117.94,19.66
8475883,Frederik.Andersen,14603,1232,993.1750245,0.915633773882079,44.67181320473095,9,109.88,18.31
8470645,Corey.Crawford,9399,760,651.99419615,0.9191403340780934,64.16740074020137,6,106.14,17.69
8471750,Ben.Bishop,9657,757,639.0270318,0.9216112664388526,62.42966373444972,6,105.55,17.59
8471695,Tuukka.Rask,11714,956,780.79135361,0.9183882533720334,47.66234840349237,8,99.97,16.66
8471679,Carey.Price,11437,939,759.2044891200001,0.9178980501879863,41.913279795434235,8,92.98,15.5
8474593,Jacob.Markstrom,11873,1044,837.26380321,0.9120694011623011,34.32309224097041,9,87.34,14.56
8473575,Semyon.Varlamov,12123,1026,816.69862301,0.9153674832962138,27.85938702454944,9,81.99,13.66
8478009,Ilya.Sorokin,4406,335,300.44078385,0.9239673172945982,58.38947046761196,3,78.06,13.01
8475311,Darcy.Kuemper,9983,839,669.1340721400001,0.9159571271160973,32.00319745221962,9,76.58,12.76
8477293,Antti.Raanta,6662,538,453.10349596000003,0.9192434704293005,46.50312954508742,9,76.25,12.71
8475660,Cam.Talbot,12932,1121,885.51089862,0.9133158057531704,14.111581677737387,9,71.85,11.98
8469608,Mike.Smith,11061,983,791.7925163599999,0.9111291926588916,21.967146007937544,8,71.36,11.89
8466141,Roberto.Luongo,7328,599,503.12413875000004,0.9182587336244541,37.559207326248554,5,70.28,11.71
8475215,Robin.Lehner,9712,813,648.34747011,0.9162891268533773,24.83754328334429,8,68.2,11.37
8476999,Linus.Ullmark,6182,502,413.09056409000004,0.9187965059851181,38.35022041299712,8,65.95,10.99
8476434,John.Gibson,13432,1174,912.49927555,0.9125967837998809,4.750400281746732,9,64.73,10.79
8470860,Jaroslav.Halak,9191,793,635.7824423,0.9137199434229137,19.71820937694578,9,60.76,10.13
8471469,Pekka.Rinne,11982,1003,784.10785519,0.9162911033216491,5.7150578966558765,7,59.22,9.87
8471239,Cory.Schneider,7732,658,541.03321893,0.9148991205380238,23.035354286848303,7,57.56,9.59
8468685,Henrik.Lundqvist,10418,876,691.80425501,0.9159147629103475,9.100551706189549,6,55.62,9.27
8471734,Jonathan.Quick,11662,1060,836.1127384199999,0.9091064997427543,2.4481144521696976,9,54.52,9.09
8476899,Matt.Murray,9256,814,643.48915572,0.9120570440795159,12.190710891869152,8,53.52,8.92
