player_id,season,xGF_O,xGF_D,xGF_net,xGF_O_se,xGF_D_se,GF_O,GF_D,GF_net,GF_O_se,GF_D_se,SOG_O,SOG_D,SOG_net,SOG_O_se,SOG_D_se,TO_O,TO_D,TO_net,TO_O_se,TO_D_se,GA_O,GA_D,GA_net,GA_O_se,GA_D_se,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,player_name,position,prior_O,prior_D
8475197,2015,0.3663,0.035,0.3313,0.0658,0.0675,1.7723,0.266,1.5063,0.022,0.0232,3.0695,1.6701,1.3994,0.0323,0.034,0.2303,-1.0501,1.2804,0.0088,0.0093,-2.6088,0.3398,-2.9486,0.0059,0.0062,1.2425,0.3482,1.5907,0.0338,0.0347,0.0485,Tyson.Barrie,D,0.0714,-0.066
8476463,2015,0.2225,0.183,0.0394,0.0645,0.0673,0.2609,1.8284,-1.5675,0.022,0.0232,1.108,2.7799,-1.6719,0.0323,0.034,2.8201,-0.7951,3.6153,0.0088,0.0093,-1.1412,-0.6735,-0.4678,0.0059,0.0062,0.609,0.9566,1.5656,0.0332,0.0347,0.048,Jonas.Brodin,D,0.0024,0.0009
8475848,2015,0.213,0.2886,-0.0756,0.0648,0.0684,0.1486,1.2175,-1.0689,0.022,0.0232,1.3375,1.3583,-0.0208,0.0323,0.034,0.4307,0.1827,0.248,0.0088,0.0093,-3.7612,-4.9695,1.2083,0.0059,0.0062,0.5993,0.8355,1.4348,0.0333,0.0352,0.0485,Brendan.Gallagher,F,0.1438,0.0152
8477932,2015,0.2617,0.1098,0.1519,0.0655,0.069,2.251,1.3629,0.8881,0.022,0.0232,3.4461,-1.504,4.9502,0.0323,0.034,0.3762,0.6204,-0.2441,0.0088,0.0093,-1.9044,-0.8711,-1.0334,0.0059,0.0062,1.3254,0.0005,1.3259,0.0337,0.0355,0.0489,Aaron.Ekblad,D,0.069,-0.07
8471303,2015,0.2348,0.0027,0.2321,0.0651,0.0683,1.2155,1.6568,-0.4412,0.022,0.0232,2.5874,1.0537,1.5337,0.0323,0.034,-1.4722,0.742,-2.2142,0.0088,0.0093,-0.816,1.2867,-2.1027,0.0059,0.0062,0.8133,0.4747,1.288,0.0335,0.0351,0.0485,Alexander.Edler,D,0.0468,0.0042
8473986,2015,0.1596,-0.0832,0.2427,0.067,0.071,0.9676,0.2894,0.6782,0.022,0.0232,1.8862,2.0185,-0.1323,0.0323,0.034,-1.0853,-0.0305,-1.0548,0.0088,0.0093,-2.854,-2.6581,-0.196,0.0059,0.0062,0.6889,0.5504,1.2393,0.0344,0.0365,0.0501,Alex.Killorn,F,0.0429,-0.0244
8470622,2015,0.0843,0.2453,-0.1611,0.0692,0.0731,0.6213,0.983,-0.3616,0.022,0.0232,0.4705,3.3148,-2.8443,0.0323,0.034,-0.8198,-1.0177,0.198,0.0088,0.0093,-1.383,-0.9794,-0.4036,0.0059,0.0062,0.245,0.9775,1.2225,0.0355,0.0375,0.0516,Patrick.Eaves,F,0.0362,-0.0101
8475798,2015,0.1119,0.1263,-0.0144,0.0661,0.0696,0.8485,0.1634,0.6851,0.022,0.0232,2.2023,1.6592,0.5431,0.0323,0.034,-0.4343,-0.0747,-0.3596,0.0088,0.0093,-2.3896,0.9439,-3.3335,0.0059,0.0062,0.7373,0.4104,1.1477,0.034,0.0358,0.0493,Mikael.Granlund,F,0.0413,0.0211
8470760,2015,0.1664,0.4011,-0.2347,0.0668,0.0704,-0.3288,1.9651,-2.2939,0.022,0.0232,0.9246,0.6671,0.2576,0.0323,0.034,0.9069,0.7445,0.1624,0.0088,0.0093,-2.006,-0.8566,-1.1495,0.0059,0.0062,0.3719,0.721,1.093,0.0343,0.0362,0.0498,Marc.Methot,D,0.0097,-0.0455
8477444,2015,0.0618,0.3555,-0.2937,0.0681,0.0717,1.0015,0.9006,0.1009,0.022,0.0232,1.0158,2.1688,-1.153,0.0323,0.034,-1.4861,-1.8701,0.384,0.0088,0.0093,-0.1744,-2.2382,2.0638,0.0059,0.0062,0.3224,0.7673,1.0897,0.0349,0.0368,0.0507,Andre.Burakovsky,F,0.0459,-0.009
8476235,2015,0.1282,0.1921,-0.0639,0.0685,0.0718,1.3731,0.3912,0.9819,0.022,0.0232,0.5524,1.36,-0.8076,0.0323,0.034,-0.2014,0.1928,-0.3943,0.0088,0.0093,-1.4125,-4.4825,3.07,0.0059,0.0062,0.436,0.6448,1.0808,0.0351,0.0368,0.0509,Justin.Fontaine,F,-0.0075,-0.0278
8468486,2015,0.0695,0.0166,0.0529,0.0668,0.0698,1.0319,-0.1291,1.1611,0.022,0.0232,2.1966,1.8751,0.3215,0.0323,0.034,-0.3802,-1.1267,0.7465,0.0088,0.0093,-1.3997,-1.007,-0.3927,0.0059,0.0062,0.706,0.3741,1.0801,0.0343,0.0359,0.0496,Scott.Hartnell,F,0.0693,-0.0348
8476887,2015,0.0628,0.212,-0.1492,0.0647,0.069,-0.2093,1.1355,-1.3448,0.022,0.0232,0.0758,3.1954,-3.1196,0.0323,0.034,-0.3907,0.1587,-0.5494,0.0088,0.0093,0.81,-3.1943,4.0043,0.0059,0.0062,-0.0392,1.1166,1.0774,0.0333,0.0355,0.0487,Filip.Forsberg,F,0.0894,0.0111
8475754,2015,0.2416,0.0579,0.1837,0.0662,0.0697,0.6079,0.6604,-0.0525,0.022,0.0232,1.6856,1.7389,-0.0533,0.0323,0.034,0.1755,-1.3103,1.4858,0.0088,0.0093,-0.364,-0.6627,0.2986,0.0059,0.0062,0.6079,0.4585,1.0664,0.034,0.0358,0.0494,Brock.Nelson,F,0.0379,0.0003
8476822,2015,0.1045,0.1053,-0.0008,0.0689,0.0711,1.6319,1.3434,0.2885,0.022,0.0232,2.1465,0.1824,1.9641,0.0323,0.034,-1.6413,0.7065,-2.3478,0.0088,0.0093,-0.4308,-0.6317,0.2009,0.0059,0.0062,0.688,0.3619,1.05,0.0353,0.0365,0.0508,Luke.Glendening,F,-0.0052,0.0227
8474027,2015,0.018,0.1175,-0.0995,0.0658,0.0687,1.0447,0.308,0.7366,0.022,0.0232,1.3606,2.2345,-0.8738,0.0323,0.034,-1.2165,0.1597,-1.3763,0.0088,0.0093,-0.8472,0.1165,-0.9636,0.0059,0.0062,0.4259,0.6015,1.0274,0.0338,0.0353,0.0489,Justin.Braun,D,0.0358,0.0405
8470655,2015,0.1454,0.0087,0.1367,0.0663,0.0692,1.4233,0.2611,1.1622,0.022,0.0232,2.0578,1.229,0.8288,0.0323,0.034,-1.3416,1.2009,-2.5425,0.0088,0.0093,-0.385,0.9648,-1.3498,0.0059,0.0062,0.6738,0.3474,1.0212,0.0341,0.0356,0.0493,David.Backes,F,0.0337,0.0215
8470041,2015,0.0994,-0.0424,0.1418,0.065,0.0684,1.1014,1.1428,-0.0414,0.022,0.0232,1.0525,0.8632,0.1893,0.0323,0.034,2.4656,0.5105,1.9552,0.0088,0.0093,0.1648,-1.507,1.6717,0.0059,0.0062,0.5878,0.431,1.0188,0.0334,0.0352,0.0485,Rick.Nash,F,0.1041,-0.0157
8474291,2015,0.2004,0.2646,-0.0642,0.0681,0.071,0.6687,-0.0331,0.7018,0.022,0.0232,0.327,1.6382,-1.3111,0.0323,0.034,0.2103,0.6799,-0.4696,0.0088,0.0093,-2.2217,-2.6228,0.4011,0.0059,0.0062,0.3739,0.6334,1.0074,0.0349,0.0365,0.0505,Jay.Beagle,F,0.0096,-0.0198
8473588,2015,0.0457,0.1835,-0.1378,0.0677,0.071,0.9032,1.5185,-0.6154,0.022,0.0232,0.2758,1.1542,-0.8784,0.0323,0.034,1.8239,-0.6367,2.4606,0.0088,0.0093,-2.1349,-0.7514,-1.3835,0.0059,0.0062,0.4138,0.5653,0.9791,0.0347,0.0365,0.0504,Erik.Condra,F,-0.0018,-0.0136
8470612,2015,0.1976,0.1225,0.075,0.0648,0.0677,-0.5819,0.5415,-1.1233,0.022,0.0232,0.1163,4.0242,-3.9079,0.0323,0.034,-0.3085,-1.5201,1.2117,0.0088,0.0093,0.1263,-0.636,0.7624,0.0059,0.0062,0.0135,0.962,0.9756,0.0333,0.0348,0.0482,Ryan.Getzlaf,F,0.0628,0.0488
8475726,2015,0.1648,0.0351,0.1297,0.0671,0.0714,1.8291,-0.3473,2.1765,0.022,0.0232,2.538,-0.209,2.747,0.0323,0.034,-1.4566,0.0198,-1.4764,0.0088,0.0093,-1.7032,-3.3694,1.6661,0.0059,0.0062,0.8959,0.0554,0.9513,0.0345,0.0366,0.0503,Tyler.Toffoli,F,0.084,-0.0283
8476458,2015,0.1355,0.0763,0.0591,0.0657,0.0693,2.0223,-0.3447,2.367,0.022,0.0232,1.3518,1.116,0.2358,0.0323,0.034,0.5896,-0.2904,0.88,0.0088,0.0093,-0.8433,0.0669,-0.9102,0.0059,0.0062,0.7376,0.2119,0.9495,0.0338,0.0356,0.0491,Ryan.Strome,F,0.0337,-0.0439
