player_id,xGF_O,xGF_D,xGF_net,xGF_O_se,xGF_D_se,GF_O,GF_D,GF_net,GF_O_se,GF_D_se,SOG_O,SOG_D,SOG_net,SOG_O_se,SOG_D_se,TO_O,TO_D,TO_net,TO_O_se,TO_D_se,GA_O,GA_D,GA_net,GA_O_se,GA_D_se,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,player_name,position,prior_O,prior_D
8470638,0.1978,0.2542,-0.0564,0.0424,0.0466,-0.7268,1.1535,-1.8803,0.0218,0.023,3.0024,0.5626,2.4399,0.0322,0.034,-0.2646,-1.9821,1.7174,0.0088,0.0093,-3.3719,-1.3625,-2.0094,0.0059,0.0062,0.7694,0.3595,1.1289,0.0226,0.0247,0.0335,Patrice.Bergeron,F,0.1016,0.0502
8479325,0.1411,0.1264,0.0146,0.0428,0.0446,0.4947,0.7567,-0.262,0.0218,0.0229,1.2775,1.8501,-0.5726,0.0322,0.034,0.1004,-0.7182,0.8186,0.0088,0.0093,-0.9583,-0.9645,0.0061,0.0059,0.0062,0.4702,0.5792,1.0494,0.0228,0.0238,0.0329,Charlie.McAvoy,D,0.0579,0.0137
8478569,0.1913,0.0976,0.0938,0.0521,0.052,-0.1833,0.6248,-0.8081,0.0219,0.0231,0.7415,1.8267,-1.0852,0.0322,0.034,0.2966,-0.1322,0.4288,0.0088,0.0093,-1.043,-0.424,-0.619,0.0059,0.0062,0.2908,0.5534,0.8442,0.0272,0.0273,0.0385,Noel.Acciari,F,0.0106,0.076
8474009,0.068,0.1373,-0.0693,0.0464,0.046,0.0275,0.5022,-0.4747,0.0218,0.023,0.9311,1.2527,-0.3216,0.0322,0.034,1.2996,0.5869,0.7127,0.0088,0.0093,-0.2596,1.4975,-1.757,0.0059,0.0062,0.3313,0.3949,0.7262,0.0245,0.0244,0.0346,Nick.Bonino,F,0.0105,0.0696
8473422,0.0688,0.1277,-0.0588,0.0452,0.0461,0.1074,0.5508,-0.4434,0.0218,0.023,0.7647,1.0563,-0.2916,0.0322,0.034,0.3936,-0.3089,0.7025,0.0088,0.0093,-1.392,-1.3783,-0.0136,0.0059,0.0062,0.298,0.4155,0.7135,0.0239,0.0245,0.0342,Nick.Foligno,F,0.0314,0.0094
8479318,0.292,0.0986,0.1934,0.0421,0.0442,0.1651,0.1941,-0.029,0.0217,0.0229,0.2517,1.4837,-1.2321,0.0322,0.034,0.38,-0.2522,0.6322,0.0088,0.0093,-0.6187,-1.2085,0.5898,0.0059,0.0062,0.2737,0.438,0.7117,0.0225,0.0236,0.0326,Auston.Matthews,F,0.1463,0.0768
8478403,0.068,0.1241,-0.0561,0.0454,0.0462,0.6694,0.3141,0.3553,0.0218,0.023,1.5221,0.6931,0.829,0.0322,0.034,-0.9131,0.0273,-0.9404,0.0088,0.0093,-0.1971,-0.3909,0.1938,0.0059,0.0062,0.4224,0.2789,0.7013,0.024,0.0245,0.0343,Jack.Eichel,F,0.1048,0.005
8474716,0.1083,0.1376,-0.0293,0.0402,0.0413,0.3518,0.3978,-0.046,0.0217,0.0229,1.7726,0.0595,1.7132,0.0322,0.034,-0.0882,0.3934,-0.4816,0.0088,0.0093,-1.6089,0.6228,-2.2317,0.0059,0.0062,0.556,0.1403,0.6962,0.0216,0.0222,0.031,Jared.Spurgeon,D,0.0476,-0.0059
8474565,0.1637,0.0123,0.1514,0.0382,0.0391,-0.3605,0.7764,-1.1369,0.0217,0.0228,1.966,0.0885,1.8775,0.0322,0.0339,1.2567,-1.4548,2.7115,0.0088,0.0093,-3.0489,1.153,-4.2018,0.0059,0.0062,0.6577,0.0087,0.6663,0.0206,0.0212,0.0296,Alex.Pietrangelo,D,0.0651,0.0116
8474673,0.0468,0.2104,-0.1636,0.039,0.0401,-0.4723,1.0638,-1.5361,0.0217,0.0229,0.1885,1.6749,-1.4864,0.0322,0.0339,2.2258,-2.3591,4.5849,0.0088,0.0093,-0.5802,-0.2457,-0.3345,0.0059,0.0062,0.1508,0.5015,0.6523,0.021,0.0217,0.0302,TJ.Brodie,D,0.0259,0.0053
8474151,0.2553,0.052,0.2033,0.0396,0.0395,0.1812,0.9372,-0.7561,0.0217,0.0228,0.5939,0.6149,-0.021,0.0322,0.0339,0.4641,0.0526,0.4115,0.0088,0.0093,-0.9439,0.1339,-1.0778,0.0059,0.0062,0.3511,0.2997,0.6507,0.0213,0.0214,0.0302,Ryan.McDonagh,D,0.0384,0.0432
8478493,0.1414,0.116,0.0255,0.0505,0.0513,0.2577,0.2406,0.0171,0.0219,0.023,1.5077,0.2444,1.2634,0.0322,0.034,-0.9179,0.5423,-1.4601,0.0088,0.0093,-1.1564,-0.8626,-0.2938,0.0059,0.0062,0.4322,0.2149,0.6471,0.0264,0.0269,0.0377,Joel.Eriksson.Ek,F,0.0647,0.0068
8475760,0.2494,0.0211,0.2283,0.048,0.049,-0.029,0.8279,-0.8569,0.0218,0.023,1.373,-0.0575,1.4305,0.0322,0.034,0.2109,0.2519,-0.041,0.0088,0.0093,-1.3037,-0.565,-0.7387,0.0059,0.0062,0.4872,0.1598,0.647,0.0252,0.0259,0.0361,Nick.Bjugstad,F,0.0526,-0.0026
8479314,0.2408,-0.0217,0.2625,0.0434,0.0474,0.5599,0.4302,0.1297,0.0218,0.023,1.4455,-0.0332,1.4787,0.0322,0.034,-0.9894,-0.5427,-0.4467,0.0088,0.0093,-1.376,-2.8583,1.4822,0.0059,0.0062,0.5181,0.1281,0.6462,0.0231,0.0251,0.0341,Matthew.Tkachuk,F,0.1282,0.0093
8478402,0.2789,0.0784,0.2005,0.0396,0.0414,0.7174,-0.0021,0.7195,0.0217,0.0229,1.3969,0.5591,0.8378,0.0322,0.034,-0.8901,-0.9817,0.0917,0.0088,0.0093,0.1856,-1.1209,1.3065,0.0059,0.0062,0.4935,0.1478,0.6414,0.0213,0.0223,0.0308,Connor.McDavid,F,0.1343,0.0159
8478038,0.1526,0.1518,0.0008,0.0449,0.0483,0.2366,0.3916,-0.155,0.0218,0.023,1.0088,0.4883,0.5206,0.0322,0.034,0.2845,-0.2863,0.5708,0.0088,0.0093,-0.9735,-0.3929,-0.5806,0.0059,0.0062,0.3897,0.2406,0.6303,0.0238,0.0255,0.0349,Devon.Toews,D,0.0615,-0.022
8476448,-0.004,0.1158,-0.1199,0.043,0.0453,-0.0992,1.0224,-1.1216,0.0218,0.023,0.9199,0.9422,-0.0223,0.0322,0.034,0.323,-0.6737,0.9967,0.0088,0.0093,-1.2823,0.645,-1.9273,0.0059,0.0062,0.2562,0.3523,0.6085,0.0229,0.0241,0.0332,William.Karlsson,F,0.0456,0.0251
8476958,0.0217,0.1282,-0.1065,0.0387,0.0419,-0.309,0.8765,-1.1854,0.0217,0.0229,0.5646,0.9159,-0.3512,0.0322,0.034,1.42,-0.4483,1.8683,0.0088,0.0093,-0.706,-0.6446,-0.0614,0.0059,0.0062,0.2022,0.396,0.5981,0.0209,0.0225,0.0307,Jaccob.Slavin,D,0.0459,0.054
8476463,-0.0247,0.2111,-0.2358,0.0407,0.0411,-0.3556,0.3852,-0.7408,0.0217,0.0229,0.3274,1.3017,-0.9743,0.0322,0.034,0.3827,0.2645,0.1181,0.0088,0.0093,-1.7941,-0.5898,-1.2043,0.0059,0.0062,0.1011,0.4892,0.5902,0.0218,0.0221,0.0311,Jonas.Brodin,D,0.0271,0.0101
8476479,0.0955,0.0061,0.0894,0.043,0.0459,0.2107,0.5876,-0.3769,0.0218,0.023,0.8804,0.7173,0.1631,0.0322,0.034,-0.3703,-0.1335,-0.2368,0.0088,0.0093,-1.4878,-0.8401,-0.6478,0.0059,0.0062,0.3103,0.2746,0.5849,0.0229,0.0244,0.0334,Phillip.Danault,F,0.0298,0.0396
8476372,0.0262,0.1101,-0.0839,0.0562,0.0568,0.754,0.2183,0.5357,0.0219,0.0231,0.3368,1.2285,-0.8917,0.0323,0.034,0.0105,0.5541,-0.5436,0.0088,0.0093,-0.6165,0.9014,-1.5179,0.0059,0.0062,0.2256,0.3553,0.5808,0.0292,0.0296,0.0415,Nick.Seeler,D,0.0267,0.091
8471303,0.098,0.0014,0.0966,0.0447,0.0451,-0.1892,0.6212,-0.8104,0.0218,0.023,1.9963,-0.0089,2.0052,0.0322,0.034,-0.0663,0.4993,-0.5656,0.0088,0.0093,-1.7338,1.6767,-3.4106,0.0059,0.0062,0.5252,0.0548,0.58,0.0237,0.024,0.0337,Alexander.Edler,D,0.0577,0.0216
8475913,0.0662,0.2192,-0.153,0.0417,0.0437,0.3122,0.1052,0.207,0.0217,0.0229,-0.2393,1.318,-1.5573,0.0322,0.034,1.3216,-0.6934,2.015,0.0088,0.0093,-0.6641,-1.7566,1.0925,0.0059,0.0062,0.1331,0.444,0.5771,0.0223,0.0234,0.0323,Mark.Stone,F,0.0733,0.0642
8478396,0.1426,0.0475,0.0951,0.0398,0.0417,-0.0385,-0.0578,0.0193,0.0217,0.0229,0.6271,1.5253,-0.8981,0.0322,0.034,0.1244,-0.8042,0.9286,0.0088,0.0093,0.0038,-1.195,1.1987,0.0059,0.0062,0.2108,0.3502,0.561,0.0214,0.0224,0.031,Noah.Hanifin,D,0.0603,-0.0025
8474166,0.1967,0.1269,0.0698,0.0422,0.0429,-0.0363,0.9391,-0.9754,0.0218,0.0229,0.1348,0.9708,-0.836,0.0322,0.034,0.6663,0.3384,0.3279,0.0088,0.0093,-0.6317,1.6531,-2.2848,0.0059,0.0062,0.1878,0.3721,0.5599,0.0225,0.023,0.0322,Alec.Martinez,D,0.0412,0.0539
8475184,0.0617,-0.03,0.0917,0.0423,0.0434,0.1932,0.4627,-0.2695,0.0218,0.0229,0.8471,1.1104,-0.2633,0.0322,0.034,0.3975,-0.7261,1.1236,0.0088,0.0093,-0.4058,-0.344,-0.0618,0.0059,0.0062,0.2863,0.2689,0.5552,0.0226,0.0232,0.0324,Chris.Kreider,F,0.0716,-0.0235
8474590,0.1362,-0.0409,0.1771,0.0388,0.0397,0.0601,-0.0376,0.0977,0.0217,0.0228,1.2841,0.7468,0.5374,0.0322,0.0339,0.0238,-0.2302,0.2541,0.0088,0.0093,-2.0055,0.52,-2.5255,0.0059,0.0062,0.4413,0.1036,0.5449,0.0209,0.0215,0.03,John.Carlson,D,0.0779,0.0334
8475848,0.1352,-0.0573,0.1925,0.0432,0.046,0.1509,0.0119,0.1389,0.0218,0.023,0.5706,1.32,-0.7494,0.0322,0.034,-0.2858,-0.3546,0.0688,0.0088,0.0093,-1.6672,-0.8714,-0.7959,0.0059,0.0062,0.2653,0.2771,0.5424,0.023,0.0244,0.0335,Brendan.Gallagher,F,0.1124,0.0136
8479407,0.1491,-0.0215,0.1706,0.0487,0.051,0.029,0.415,-0.386,0.0218,0.023,0.6595,1.1692,-0.5097,0.0322,0.034,-0.1193,-1.1502,1.0309,0.0088,0.0093,-0.989,-0.9194,-0.0696,0.0059,0.0062,0.2564,0.2765,0.5329,0.0256,0.0268,0.037,Jesper.Bratt,F,0.0708,-0.0162
8475225,0.0959,0.0182,0.0777,0.0434,0.0461,-0.3975,0.7648,-1.1622,0.0218,0.023,1.6844,0.1818,1.5026,0.0322,0.034,0.4087,-1.1441,1.5528,0.0088,0.0093,-1.6773,0.3988,-2.076,0.0059,0.0062,0.4505,0.0792,0.5297,0.0231,0.0245,0.0336,Craig.Smith,F,0.0755,-0.0079
8476399,0.0622,0.0425,0.0197,0.0466,0.049,-0.4548,0.2913,-0.7461,0.0218,0.023,0.9251,1.1423,-0.2172,0.0322,0.034,-0.1094,-1.0491,0.9397,0.0088,0.0093,-1.5995,-1.0607,-0.5388,0.0059,0.0062,0.2238,0.2957,0.5196,0.0246,0.0259,0.0357,Blake.Coleman,F,0.0642,0.0502
8476854,0.0413,0.095,-0.0537,0.0397,0.0408,-0.2039,0.6945,-0.8984,0.0217,0.0229,0.9803,1.0176,-0.0374,0.0322,0.034,-0.8192,-0.7378,-0.0814,0.0088,0.0093,-0.0126,-0.5444,0.5319,0.0059,0.0062,0.1571,0.3531,0.5101,0.0213,0.022,0.0306,Hampus.Lindholm,D,0.0484,-0.0118
8476461,0.1279,0.0867,0.0412,0.0452,0.0471,0.5814,-0.2796,0.8611,0.0218,0.023,0.3768,1.1459,-0.7692,0.0322,0.034,-1.0233,-0.6809,-0.3424,0.0088,0.0093,-1.1222,-1.9409,0.8187,0.0059,0.0062,0.2175,0.2903,0.5078,0.0239,0.025,0.0346,Sean.Couturier,F,0.0439,0.0138
8478443,-0.0371,0.1648,-0.2019,0.0436,0.0441,0.2196,0.4665,-0.2469,0.0218,0.0229,0.7867,0.5556,0.2311,0.0322,0.034,0.6288,-0.2337,0.8625,0.0088,0.0093,-0.3131,0.2062,-0.5193,0.0059,0.0062,0.2377,0.2523,0.4901,0.0232,0.0235,0.033,Brandon.Carlo,D,0.0237,0.0133
8478856,0.0778,0.0544,0.0235,0.0525,0.0542,0.0821,0.7052,-0.6231,0.0219,0.0231,0.8604,0.2781,0.5822,0.0322,0.034,0.167,-0.4011,0.5681,0.0088,0.0093,-0.9111,-0.4804,-0.4307,0.0059,0.0062,0.287,0.1893,0.4763,0.0274,0.0283,0.0394,Conor.Garland,F,0.0703,-0.0017
8477447,0.0474,0.0165,0.0309,0.0407,0.0431,-0.0843,0.6451,-0.7294,0.0217,0.0229,0.7361,0.8255,-0.0894,0.0322,0.034,0.1387,-0.9221,1.0607,0.0088,0.0093,-1.2098,-0.2852,-0.9246,0.0059,0.0062,0.2297,0.2427,0.4724,0.0218,0.0231,0.0317,Shea.Theodore,D,0.086,-0.0143
8475855,0.0675,0.1788,-0.1114,0.045,0.0466,-0.6854,0.8636,-1.549,0.0218,0.023,0.2295,0.7928,-0.5633,0.0322,0.034,0.1033,-0.3815,0.4848,0.0088,0.0093,-1.4095,-1.3439,-0.0656,0.0059,0.0062,0.044,0.4242,0.4682,0.0238,0.0247,0.0343,Jesper.Fast,F,-0.0026,0.0139
8481542,0.0569,0.03,0.0269,0.0551,0.0558,0.1931,0.2333,-0.0402,0.0219,0.0231,0.3988,0.8708,-0.472,0.0323,0.034,-0.3474,0.6129,-0.9602,0.0088,0.0093,-1.0237,-0.1966,-0.8271,0.0059,0.0062,0.1653,0.2862,0.4515,0.0286,0.0291,0.0408,Moritz.Seider,D,0.0594,0.055
8475754,0.1627,0.0065,0.1562,0.0417,0.0415,0.991,0.4858,0.5052,0.0217,0.0229,0.0183,0.4883,-0.47,0.0322,0.034,-0.6842,0.2437,-0.9278,0.0088,0.0093,-0.1292,-1.323,1.1938,0.0059,0.0062,0.1981,0.2511,0.4492,0.0223,0.0223,0.0315,Brock.Nelson,F,0.0625,-0.0034
8479323,0.059,0.0913,-0.0323,0.0493,0.0512,-0.1335,0.6447,-0.7782,0.0219,0.023,0.2791,0.5329,-0.2538,0.0322,0.034,1.042,-0.7392,1.7811,0.0088,0.0093,-1.1165,-1.3962,0.2797,0.0059,0.0062,0.1781,0.2711,0.4491,0.0259,0.0269,0.0373,Adam.Fox,D,0.0818,0.0286
8476923,0.1776,0.0331,0.1445,0.0404,0.0415,0.1176,0.3769,-0.2593,0.0217,0.0229,0.9077,0.2718,0.6359,0.0322,0.034,0.1838,-1.0214,1.2052,0.0088,0.0093,-0.9404,-0.5387,-0.4017,0.0059,0.0062,0.3548,0.0931,0.4479,0.0217,0.0223,0.0311,Damon.Severson,D,0.0478,-0.0352
8477511,0.0446,0.0952,-0.0507,0.0478,0.05,0.2914,-0.3021,0.5936,0.0218,0.023,0.0368,1.5712,-1.5344,0.0322,0.034,-0.6816,-0.4653,-0.2162,0.0088,0.0093,-0.5155,-1.7603,1.2447,0.0059,0.0062,0.0538,0.3904,0.4443,0.0251,0.0263,0.0364,Anthony.Mantha,F,0.0584,-0.0031
8482113,0.0269,0.0316,-0.0047,0.0572,0.0603,0.1489,0.3914,-0.2425,0.0219,0.0231,0.1473,0.8824,-0.7351,0.0323,0.034,0.5178,-0.2021,0.7199,0.0088,0.0093,-0.6968,-1.4543,0.7576,0.0059,0.0062,0.1271,0.3147,0.4418,0.0297,0.0313,0.0431,Anton.Lundell,F,0.054,0.0402
8479371,0.0762,0.0076,0.0686,0.0518,0.053,-0.0589,0.4067,-0.4656,0.0219,0.0231,1.2744,0.3854,0.8889,0.0322,0.034,-0.1207,-0.1613,0.0406,0.0088,0.0093,-0.3942,0.6235,-1.0177,0.0059,0.0062,0.3182,0.115,0.4331,0.0271,0.0278,0.0388,Dante.Fabbro,D,0.0316,0.0258
8480027,0.0925,0.0109,0.0817,0.0522,0.0553,0.2255,0.1522,0.0733,0.0219,0.0231,0.1353,1.1511,-1.0158,0.0322,0.034,-0.7183,-0.1718,-0.5464,0.0088,0.0093,0.0659,-2.4264,2.4923,0.0059,0.0062,0.0641,0.3683,0.4324,0.0272,0.0289,0.0397,Jason.Robertson,F,0.111,-0.0027
8478013,0.0863,0.0336,0.0527,0.0592,0.0612,-0.1709,-0.2296,0.0587,0.0219,0.0231,0.5589,1.1399,-0.581,0.0323,0.034,-0.1048,0.0748,-0.1796,0.0088,0.0093,-1.048,-0.4135,-0.6344,0.0059,0.0062,0.1761,0.2542,0.4303,0.0306,0.0317,0.0441,Jake.Walman,D,0.0657,0.0317
8482093,0.1458,0.0896,0.0561,0.0562,0.0607,-0.4024,0.3769,-0.7793,0.0219,0.0231,0.3525,0.6843,-0.3318,0.0323,0.034,0.3454,-0.5463,0.8917,0.0088,0.0093,-0.9302,-1.4942,0.5639,0.0059,0.0062,0.148,0.2789,0.4269,0.0292,0.0315,0.0429,Seth.Jarvis,F,0.0863,0.0104
8477493,0.1472,0.0383,0.1089,0.0429,0.0457,-0.0166,0.6118,-0.6284,0.0218,0.023,1.3759,-0.3078,1.6837,0.0322,0.034,1.2068,-1.8185,3.0253,0.0088,0.0093,-1.2138,0.0639,-1.2777,0.0059,0.0062,0.4948,-0.0685,0.4263,0.0228,0.0243,0.0333,Aleksander.Barkov,F,0.0759,0.0422
