player_id,player_name,position,window,window_start,window_end,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,xGF_O,xGF_D,xGF_net,GF_O,GF_D,GF_net,SOG_O,SOG_D,SOG_net,TO_O,TO_D,TO_net,GA_O,GA_D,GA_net
8448208,Jaromir.Jagr,F,2015-2017,2015,2017,0.2606,-0.1485,0.1121,0.11760000139474869,0.1209,0.16869999468326569,0.0853,-0.0364,0.0488,0.7349,-0.2565,0.4784,0.7113,-0.2036,0.5077,-0.5788,-1.2353,-1.8141,0.3514,-0.6763,-0.3249
8455710,?,?,2015-2017,2015,2017,0.0529,-0.001,0.0519,0.17020000517368317,0.1708,0.2410999983549118,-0.023,0.0161,-0.0069,0.5189,0.0918,0.6107,-0.0722,-0.019,-0.0911,0.2719,-0.4108,-0.139,0.3474,-0.1511,0.1963
8458951,Sergei.Gonchar,D,2015-2017,2015,2017,-0.0821,0.0175,-0.0647,0.15880000591278076,0.1563,0.22280000150203705,0.0061,-0.0059,0.0002,-0.2316,0.29,0.0584,0.0134,0.0716,0.0851,-0.2626,-0.2955,-0.5581,0.941,0.5277,1.4687
8459670,Kimmo.Timonen,D,2015-2017,2015,2017,-0.1044,-0.0369,-0.1414,0.1687999963760376,0.1674,0.23770000040531158,-0.0242,-0.0159,-0.0401,-0.2485,0.4737,0.2252,-0.112,-0.3403,-0.4523,0.0454,0.1346,0.18,0.8285,0.8315,1.66
8460542,Patrik.Elias,F,2015-2017,2015,2017,-0.0609,-0.246,-0.3069,0.15240000188350677,0.1518,0.2151000052690506,-0.0115,-0.0508,-0.0623,0.082,-0.5033,-0.4213,-0.0961,-0.5741,-0.6702,-0.114,-0.4745,-0.5885,0.9873,-0.2411,0.7462
8460626,Bryce.Salvador,D,2015-2017,2015,2017,-0.0928,-0.1645,-0.2573,0.18019999563694,0.1794,0.25429999828338623,-0.0123,-0.0108,-0.0231,-0.0698,-0.497,-0.5668,-0.1081,-0.2143,-0.3224,-0.3678,-0.0719,-0.4397,0.7588,0.8269,1.5856
8460705,?,?,2015-2017,2015,2017,0.0001,-0.053,-0.0529,0.17149999737739563,0.1744,0.24459999799728394,0.0622,-0.0073,0.0549,-0.2807,-0.4554,-0.7361,0.0613,0.0404,0.1017,-0.3032,0.1022,-0.201,-0.3948,-0.0988,-0.4936
8460720,Eric.Boulton,F,2015-2017,2015,2017,-0.0851,-0.0713,-0.1564,0.18250000476837158,0.1803,0.2565999925136566,-0.0108,-0.0044,-0.0152,-0.1102,-0.1338,-0.244,-0.1127,0.0035,-0.1091,-0.0157,-0.3266,-0.3423,0.9363,0.7542,1.6905
8462038,Shane.Doan,F,2015-2017,2015,2017,-0.0248,-0.0474,-0.0722,0.120899997651577,0.1182,0.16910000145435333,-0.0341,-0.0049,-0.039,0.1785,0.0489,0.2275,-0.1009,-0.2749,-0.3757,-0.3628,-0.3314,-0.6942,-0.2368,-0.7014,-0.9382
8462042,Jarome.Iginla,F,2015-2017,2015,2017,-0.0951,-0.0814,-0.1764,0.12020000070333481,0.1146,0.16609999537467957,0.0013,-0.0801,-0.0787,0.0973,-0.0833,0.014,-0.3865,-0.0716,-0.4582,0.1588,-0.0177,0.1411,0.8708,0.3,1.1708
