player_id,player_name,position,season,GP,toi_min,toi_pp_min,toi_pk_min,composite_O,composite_D,composite,PV_O,PV_D,IV_O,IV_D,GV_O,GV_D,OOI_O,OOI_D,RAPM_O,RAPM_D,RAPM_O_se,RAPM_D_se,PP_O,PK_D,ozPct,dzPct
8477932,Aaron Ekblad,D,2015,78,1345.4,211.0,53.9,0.3298,-0.1924,0.1374,0.3009,-0.0198,0.3236,-0.361,0.1346,0.0146,2.1012,-2.4105,0.1465,0.0188,0.1117,0.1143,0.183,0.0407,0.3006,0.2424
8476431,Adam Clendening,D,2015,29,391.6,23.2,0.1,0.2891,-0.1306,0.1584,0.2533,-0.0815,0.2897,-0.1757,0.3697,-0.1133,2.3298,-1.9675,0.0108,0.0171,0.1434,0.1454,0.0,0.0,0.3086,0.2531
8471490,Adam Cracknell,R,2015,52,586.6,6.1,32.8,-0.5182,0.2164,-0.3018,-0.4386,0.0236,-1.9673,1.6902,-1.649,0.0107,-1.8535,1.5329,-0.073,0.0439,0.1406,0.1391,0.0,0.0,0.2787,0.338
8474641,Adam Henrique,C,2015,80,1082.4,191.4,199.8,0.0053,-0.1575,-0.1521,0.053,-0.0071,-1.4119,0.9733,0.1451,0.0034,-1.0523,0.1784,0.1126,0.0117,0.1263,0.1231,0.0916,0.0687,0.3262,0.2639
8476457,Adam Larsson,D,2015,82,1492.4,11.7,259.1,-0.183,0.3232,0.1402,-0.104,0.1273,-0.2972,0.5232,-0.4928,0.1964,1.226,-1.0276,0.1437,0.2592,0.1158,0.1139,-0.1438,0.0757,0.1591,0.391
8476392,Adam Lowry,C,2015,74,856.7,14.0,146.5,-0.3791,0.3489,-0.0302,-0.246,0.0731,-1.8818,1.9058,-0.6866,0.1065,-1.8946,2.0874,0.0403,0.0416,0.1223,0.1217,-0.0932,0.0505,0.2663,0.2793
8471717,Adam McQuaid,D,2015,64,972.3,2.9,146.9,-0.369,0.2697,-0.0993,-0.1946,0.0217,-0.5786,0.5217,-0.3043,0.037,0.7958,-0.7908,-0.0693,0.1496,0.1182,0.1178,-0.1726,0.01,0.2967,0.282
8471385,Adam Pardy,D,2015,23,308.0,0.4,52.7,0.0154,0.0489,0.0643,0.0274,-0.0244,-0.0317,0.1262,-0.7841,-0.012,1.5539,-1.4268,0.0462,-0.0361,0.1471,0.1464,-0.0078,0.036,0.3226,0.2581
8474166,Alec Martinez,D,2015,78,1269.6,152.4,165.4,-0.119,0.2883,0.1693,-0.0577,0.0324,-0.2155,0.5482,-0.1162,0.0433,1.6078,-0.9421,-0.0575,0.2151,0.1138,0.1165,-0.0789,0.0251,0.3114,0.3275
8477493,Aleksander Barkov,C,2015,66,924.2,180.7,111.7,0.5248,-0.2685,0.2564,0.369,-0.025,-0.6889,0.7692,0.8673,-0.0246,0.5361,-0.0071,0.0358,-0.069,0.121,0.1233,0.4557,0.0202,0.2381,0.2676
8469466,Ales Hemsky,R,2015,75,825.5,115.9,0.7,0.464,-0.1019,0.3621,0.2791,-0.018,-0.7207,1.0954,0.5374,-0.0223,0.68,0.556,-0.1184,-0.0478,0.1261,0.1289,-0.1837,-0.0122,0.2885,0.2673
8473415,Alex Biega,D,2015,51,773.4,9.8,52.8,-0.0698,-0.0212,-0.091,-0.0156,-0.031,-0.159,-0.0074,-0.1997,-0.014,1.58,-1.682,-0.0138,-0.2432,0.1429,0.1408,-0.0164,-0.0306,0.3087,0.3087
8475163,Alex Chiasson,R,2015,77,831.5,81.8,113.4,-0.8459,0.2133,-0.6326,-0.5549,0.0484,-2.5064,1.6593,-0.438,0.061,-2.675,1.6165,-0.1406,0.0012,0.1244,0.1234,0.3146,-0.0049,0.2212,0.3199
8476851,Alex Galchenyuk,C,2015,82,1059.8,198.4,0.6,0.6174,-0.2516,0.3658,0.4662,-0.0433,-0.601,0.8212,0.5907,-0.0194,0.3598,0.0786,0.0753,-0.1421,0.1173,0.1181,0.0299,0.0767,0.4167,0.1682
8471274,Alex Goligoski,D,2015,82,1517.4,150.6,177.7,0.0965,-0.0278,0.0687,0.1353,0.0228,0.0225,-0.0744,0.4701,0.0806,1.9129,-1.8003,-0.0182,-0.0376,0.1054,0.1072,-0.1476,0.0343,0.2546,0.2672
8473986,Alex Killorn,L,2015,81,1096.5,178.1,34.6,0.107,-0.0824,0.0247,0.1164,0.0188,-1.2718,1.0976,0.2128,0.055,-0.7804,0.4737,0.0787,-0.0271,0.117,0.1203,0.1506,0.0312,0.3273,0.2451
8471214,Alex Ovechkin,L,2015,79,1207.2,326.5,0.3,0.4332,0.1379,0.5711,0.2947,-0.0212,-0.7978,1.5781,0.4882,-0.036,0.304,1.693,-0.0241,-0.1051,0.1054,0.1086,0.3434,0.0137,0.2975,0.2337
8475755,Alex Petrovic,D,2015,66,967.3,7.6,110.3,0.0766,0.1701,0.2467,0.1081,0.0362,0.01,0.3081,0.2102,0.0699,1.8348,-1.2982,0.1047,0.0681,0.1285,0.1283,-0.0983,0.1998,0.2759,0.3347
8474565,Alex Pietrangelo,D,2015,73,1438.9,164.6,215.0,0.3225,-0.0852,0.2373,0.2767,0.0562,0.3331,-0.2224,-0.071,0.1541,2.1059,-2.1814,0.1915,-0.0939,0.1042,0.1037,-0.1167,-0.0347,0.2613,0.2861
8467338,Alex Tanguay,L,2015,70,884.3,146.4,36.0,0.1862,-0.1253,0.0609,0.1738,-0.0649,-1.171,1.0954,0.4201,-0.0986,-0.5557,0.6129,0.0952,-0.1253,0.1329,0.1279,0.0252,0.0122,0.3388,0.2521
8475788,Alexander Burmistrov,C,2015,81,1053.3,75.4,160.6,-0.6025,-0.0104,-0.6129,-0.4217,-0.0008,-2.1529,1.2612,-0.9586,0.0133,-2.2052,1.0056,-0.2202,-0.0744,0.1398,0.1373,-0.0093,-0.0193,0.286,0.2256
8471303,Alexander Edler,D,2015,52,938.4,151.0,125.5,0.1443,0.0606,0.2049,0.161,-0.0338,0.0925,0.159,-0.1037,-0.0592,1.7005,-1.3853,0.2468,0.0185,0.1159,0.1154,0.0973,-0.026,0.2292,0.3345
