player_id,player_name,position,season,GP,toi_5v5,toi_pp,toi_pk,composite_O,composite_D,PV_O,PV_D,IV_O,IV_D,EV_O_GAR,EV_D_GAR,PP_GAR,PK_GAR,GAR_O,GAR_D,WAR_O,WAR_D,WAR,WAR_O_82,WAR_D_82,WAR_82
8471675,Sidney Crosby,C,2015,80,1238.8,276.0,29.8,1.0243,-0.2124,0.7041,-0.0153,-0.0251,0.8716,21.15,-4.39,1.78,-0.01,22.93,-4.4,5.81,0.19,6.0,5.96,0.19,6.15
8471887,Patric Hornqvist,R,2015,82,1098.5,231.8,1.4,0.6774,0.3306,0.538,0.1096,-0.5527,1.8327,12.4,6.05,2.25,0.0,14.65,6.05,4.15,1.8,5.95,4.15,1.8,5.95
8471218,Blake Wheeler,R,2015,82,1171.6,246.6,99.0,0.9306,-0.0398,0.6312,-0.0066,-0.1396,1.2081,18.17,-0.78,0.88,-0.01,19.05,-0.79,5.13,0.77,5.9,5.13,0.77,5.9
8475744,Evgeny Kuznetsov,C,2015,82,1188.6,167.2,2.6,1.1417,-0.3251,0.794,-0.0608,0.1198,0.6918,22.62,-6.44,0.5,-0.0,23.12,-6.44,5.6,-0.26,5.34,5.6,-0.26,5.34
8470638,Patrice Bergeron,C,2015,80,1102.6,227.9,167.3,0.7728,-0.1252,0.471,-0.007,-0.295,1.0378,14.2,-2.3,2.58,0.2,16.78,-2.1,4.72,0.54,5.26,4.84,0.55,5.39
8471214,Alex Ovechkin,L,2015,79,1207.2,326.5,0.3,0.4332,0.1379,0.2947,-0.0212,-0.7978,1.5781,8.72,2.77,1.87,0.0,10.59,2.77,3.74,1.38,5.12,3.88,1.43,5.31
8475765,Vladimir Tarasenko,R,2015,80,1159.7,215.1,33.1,1.0335,-0.3305,0.7178,-0.1016,-0.0203,0.7216,19.98,-6.39,0.69,0.01,20.67,-6.38,5.26,-0.22,5.04,5.39,-0.23,5.17
8474141,Patrick Kane,R,2015,82,1329.2,239.6,3.6,0.8098,-0.3314,0.5916,-0.0728,-0.3415,0.6911,17.94,-7.34,1.29,0.0,19.23,-7.34,5.23,-0.29,4.94,5.23,-0.29,4.94
8474157,Max Pacioretty,L,2015,82,1108.2,228.6,91.9,0.7042,-0.0251,0.4968,-0.0105,-0.458,1.2413,13.01,-0.46,0.15,0.14,13.16,-0.32,4.03,0.8,4.83,4.03,0.8,4.83
8471685,Anze Kopitar,C,2015,81,1243.6,200.5,162.7,0.5125,-0.0358,0.352,0.0996,-0.6965,1.1099,10.62,-0.74,0.65,-0.31,11.27,-1.05,3.94,0.78,4.72,3.99,0.79,4.78
8475726,Tyler Toffoli,C,2015,82,1090.7,168.9,100.6,0.7505,-0.0831,0.5486,0.01,-0.4173,1.1049,13.64,-1.51,0.74,0.08,14.38,-1.43,4.15,0.57,4.72,4.15,0.57,4.72
8448208,Jaromir Jagr,R,2015,79,1105.0,205.5,0.4,0.9579,-0.2596,0.731,-0.0588,-0.1847,0.8207,17.64,-4.78,0.26,0.0,17.9,-4.78,4.67,-0.02,4.65,4.85,-0.02,4.83
8470794,Joe Pavelski,C,2015,82,1214.1,277.4,42.0,0.5175,-0.0834,0.3542,0.0035,-0.6887,1.1108,10.47,-1.69,1.49,0.04,11.96,-1.65,3.97,0.64,4.61,3.97,0.64,4.61
8470604,Jeff Carter,C,2015,76,1050.6,169.9,120.5,0.815,-0.141,0.517,0.0239,-0.2566,0.9753,14.27,-2.47,0.36,-0.09,14.63,-2.56,4.16,0.37,4.53,4.49,0.4,4.89
8476438,Brandon Saad,L,2015,78,1077.8,152.7,45.8,0.8113,-0.1013,0.5759,-0.0094,-0.3229,1.0878,14.57,-1.82,-0.37,0.06,14.2,-1.76,4.01,0.47,4.48,4.22,0.49,4.71
8470655,David Backes,R,2015,79,1125.0,187.4,131.5,0.1195,0.4126,0.062,0.0798,-1.1926,2.0265,2.24,7.74,0.59,-0.01,2.83,7.73,2.33,2.15,4.48,2.42,2.23,4.65
8475794,Tyler Seguin,C,2015,72,1089.2,225.5,1.5,0.7871,-0.2044,0.5091,-0.0329,-0.3045,0.9053,14.29,-3.71,1.28,-0.0,15.57,-3.71,4.29,0.17,4.46,4.89,0.19,5.08
8473419,Brad Marchand,L,2015,77,1097.5,109.4,151.1,0.6627,-0.1077,0.4617,0.0102,-0.5059,1.0556,12.12,-1.97,0.75,0.43,12.87,-1.54,3.89,0.55,4.44,4.14,0.59,4.73
8474176,Carl Hagelin,L,2015,80,1073.1,17.5,125.5,0.7078,-0.0327,0.5367,0.0178,-0.4907,1.198,12.66,-0.58,-0.04,0.1,12.62,-0.48,3.67,0.65,4.32,3.76,0.67,4.43
8473473,Milan Lucic,L,2015,81,1186.0,168.4,2.8,0.3808,0.1723,0.2554,0.0277,-0.8635,1.598,7.53,3.41,-0.36,0.0,7.17,3.41,2.94,1.38,4.32,2.98,1.4,4.37
8471273,Brandon Dubinsky,C,2015,75,1037.6,151.8,138.8,0.3374,0.2779,0.2032,0.0524,-0.8979,1.7845,5.84,4.81,0.0,-0.1,5.84,4.71,2.68,1.58,4.26,2.93,1.73,4.66
8476460,Mark Scheifele,C,2015,71,1046.8,185.6,20.4,0.8749,-0.2552,0.6053,-0.035,-0.2251,0.8058,15.26,-4.45,0.63,-0.02,15.89,-4.47,4.26,0.0,4.26,4.92,0.0,4.92
8470543,Chris Kunitz,L,2015,80,1109.9,161.6,26.5,0.3518,0.2096,0.3007,0.0606,-0.9666,1.6397,6.51,3.88,-0.28,-0.0,6.23,3.88,2.71,1.42,4.13,2.78,1.46,4.23
8468508,Justin Williams,R,2015,82,1090.4,151.5,77.7,0.6736,-0.1624,0.5041,0.0151,-0.5264,0.9411,12.24,-2.95,0.53,0.01,12.77,-2.94,3.83,0.3,4.13,3.83,0.3,4.13
8476432,Boone Jenner,C,2015,82,1127.6,163.6,14.7,0.2541,0.2716,0.2083,0.0154,-1.0697,1.809,4.78,5.1,-0.32,-0.01,4.46,5.09,2.42,1.63,4.05,2.42,1.63,4.05
8475799,Nino Niederreiter,R,2015,82,1074.2,146.6,1.9,0.4303,0.1182,0.3445,0.0535,-0.8535,1.464,7.7,2.12,0.52,0.0,8.22,2.12,2.94,1.08,4.02,2.94,1.08,4.02
8471669,Paul Stastny,C,2015,64,937.8,142.2,83.6,0.6674,-0.0158,0.4663,0.031,-0.5011,1.2184,10.43,-0.25,0.52,-0.1,10.95,-0.35,3.32,0.64,3.96,4.25,0.82,5.07
8473994,Jamie Benn,L,2015,82,1176.9,247.4,123.7,0.4541,-0.2257,0.3273,-0.0626,-0.7887,0.8924,8.91,-4.43,1.58,-0.08,10.49,-4.51,3.74,0.17,3.91,3.74,0.17,3.91
8477492,Nathan MacKinnon,C,2015,72,1039.1,198.0,40.0,0.653,-0.2364,0.5055,-0.0618,-0.5691,0.8702,11.31,-4.09,1.6,-0.0,12.91,-4.09,3.79,0.08,3.87,4.32,0.09,4.41
8475791,Taylor Hall,L,2015,82,1271.3,219.6,3.7,0.6008,-0.3006,0.3985,-0.1036,-0.5665,0.7836,12.73,-6.37,-0.17,0.0,12.56,-6.37,4.02,-0.17,3.85,4.02,-0.17,3.85
8476459,Mika Zibanejad,C,2015,80,1053.7,189.3,110.4,0.5049,-0.1432,0.3649,-0.0304,-0.7246,1.0251,8.87,-2.51,1.18,0.06,10.05,-2.45,3.42,0.4,3.82,3.51,0.41,3.92
8476456,Jonathan Huberdeau,L,2015,75,1086.6,192.9,40.7,0.5135,-0.1115,0.4425,0.0001,-0.7852,1.058,9.3,-2.02,0.53,0.05,9.83,-1.97,3.34,0.46,3.8,3.65,0.5,4.15
8473492,Matt Beleskey,L,2015,80,1121.8,96.1,5.9,0.2126,0.2837,0.1475,0.0373,-1.0919,1.8113,3.97,5.3,-0.25,0.0,3.72,5.3,2.19,1.61,3.8,2.24,1.65,3.89
8468486,Scott Hartnell,L,2015,79,997.2,187.5,2.1,0.4396,0.1076,0.3519,-0.057,-0.8422,1.5534,7.31,1.79,0.06,0.0,7.37,1.79,2.75,1.01,3.76,2.85,1.05,3.9
8475184,Chris Kreider,L,2015,79,1038.6,182.3,0.0,0.2232,0.1979,0.2175,0.0255,-1.1406,1.6513,3.86,3.42,1.28,0.0,5.14,3.42,2.43,1.3,3.73,2.52,1.35,3.87
8467875,Daniel Sedin,L,2015,77,1064.4,230.4,36.2,0.4852,-0.1122,0.3863,-0.0101,-0.7855,1.0669,8.61,-1.99,0.77,-0.0,9.38,-1.99,3.27,0.46,3.73,3.48,0.49,3.97
8475225,Craig Smith,R,2015,82,1040.9,171.0,2.4,0.8539,-0.3452,0.6331,-0.0593,-0.2949,0.6501,14.81,-5.99,-0.42,0.0,14.39,-5.99,3.96,-0.27,3.69,3.96,-0.27,3.69
8474884,Mike Hoffman,L,2015,78,1091.9,174.7,3.2,0.7158,-0.3409,0.4991,-0.0275,-0.437,0.6268,13.03,-6.2,0.63,0.0,13.66,-6.2,3.91,-0.28,3.63,4.11,-0.29,3.82
8470834,Dustin Byfuglien,D,2015,81,1514.9,260.3,153.2,0.4454,-0.0927,0.3671,-0.0394,0.4886,-0.1419,11.25,-2.34,0.62,0.05,11.87,-2.29,3.21,0.41,3.62,3.25,0.42,3.66
8471698,T.J. Oshie,R,2015,80,1115.9,227.9,111.2,0.2066,-0.0271,0.1994,-0.0282,-1.1558,1.2552,3.84,-0.5,1.83,0.0,5.67,-0.5,2.82,0.78,3.6,2.89,0.8,3.69
8469638,Jussi Jokinen,L,2015,81,1024.7,195.2,172.0,0.462,-0.111,0.3301,0.0167,-0.7756,1.0424,7.89,-1.9,-0.21,-0.01,7.68,-1.91,3.07,0.51,3.58,3.11,0.52,3.62
8473563,Nicklas Backstrom,C,2015,75,1085.4,215.8,62.5,0.2703,-0.045,0.1557,0.0221,-0.9847,1.169,4.89,-0.81,2.0,-0.06,6.89,-0.87,2.9,0.67,3.57,3.17,0.73,3.9
8476887,Filip Forsberg,L,2015,82,1140.4,206.2,139.5,0.5136,-0.3332,0.4071,-0.0777,-0.7494,0.6923,9.76,-6.33,0.84,0.13,10.6,-6.2,3.68,-0.15,3.53,3.68,-0.15,3.53
8476881,Tomas Hertl,C,2015,81,1133.4,129.3,2.2,0.3515,0.0079,0.2301,0.0693,-0.8967,1.2275,6.64,0.15,0.11,0.0,6.75,0.15,2.75,0.78,3.53,2.78,0.79,3.57
8476483,Rickard Rakell,C,2015,72,960.1,154.0,7.6,0.5921,-0.0791,0.424,-0.0001,-0.6095,1.123,9.47,-1.27,0.21,-0.0,9.68,-1.27,3.06,0.46,3.52,3.49,0.52,4.01
8470626,Loui Eriksson,L,2015,82,1154.6,228.0,141.2,0.4247,-0.2038,0.2986,-0.0298,-0.8188,0.9032,8.17,-3.92,-0.55,0.11,7.62,-3.81,3.23,0.27,3.5,3.23,0.27,3.5
8475314,Anders Lee,L,2015,80,935.2,188.6,1.6,0.3654,0.1327,0.2668,0.0064,-0.9055,1.5401,5.7,2.07,0.36,0.0,6.06,2.07,2.46,1.02,3.48,2.52,1.05,3.57
8475692,Mats Zuccarello,R,2015,81,1221.9,210.5,10.0,0.3336,-0.1636,0.3057,-0.0541,-1.008,1.008,6.79,-3.33,1.12,-0.0,7.91,-3.33,3.17,0.31,3.48,3.21,0.31,3.52
8470612,Ryan Getzlaf,C,2015,78,1120.9,208.0,110.8,0.3779,-0.1151,0.2504,0.0004,-0.8641,1.0505,7.06,-2.15,-0.34,0.07,6.72,-2.08,2.97,0.51,3.48,3.12,0.54,3.66
8476851,Alex Galchenyuk,C,2015,82,1059.8,198.4,0.6,0.6174,-0.2516,0.4662,-0.0433,-0.601,0.8212,10.91,-4.44,0.1,0.0,11.01,-4.44,3.45,0.01,3.46,3.45,0.01,3.46
8473512,Claude Giroux,C,2015,78,1113.9,281.5,113.2,0.1721,-0.0592,0.0878,0.0025,-1.1132,1.1602,3.19,-1.1,1.68,-0.03,4.87,-1.13,2.75,0.71,3.46,2.89,0.75,3.64
8476453,Nikita Kucherov,R,2015,77,1088.0,227.6,1.6,0.4225,-0.224,0.3436,-0.0077,-0.8682,0.8409,7.66,-4.06,2.26,0.01,9.92,-4.05,3.35,0.11,3.46,3.57,0.12,3.68
8476892,Colton Parayko,D,2015,79,1270.7,127.3,74.2,0.4434,0.0821,0.3835,0.071,0.4682,0.0974,9.39,1.74,0.13,-0.01,9.52,1.73,2.53,0.89,3.42,2.63,0.92,3.55
8475793,Ryan Johansen,C,2015,80,1112.0,215.2,11.8,0.3169,-0.1195,0.2205,-0.0306,-0.9563,1.0726,5.87,-2.22,1.63,0.01,7.5,-2.21,2.97,0.43,3.4,3.04,0.44,3.49
8478550,Artemi Panarin,L,2015,80,1195.4,211.0,0.9,0.4276,-0.2975,0.331,-0.0738,-0.8454,0.7598,8.52,-5.93,1.82,0.0,10.34,-5.93,3.53,-0.15,3.38,3.62,-0.15,3.46
8467371,Mike Ribeiro,C,2015,81,1134.3,212.4,2.5,0.6947,-0.4476,0.5728,-0.0597,-0.5529,0.4456,13.13,-8.46,0.22,-0.0,13.35,-8.46,3.96,-0.61,3.35,4.01,-0.62,3.39
8475170,Brayden Schenn,C,2015,80,1031.4,270.7,0.9,0.0782,0.1407,0.0789,-0.0137,-1.2921,1.5762,1.34,2.42,1.19,-0.0,2.53,2.42,2.1,1.18,3.28,2.15,1.21,3.36
8474715,Cam Atkinson,R,2015,81,1048.5,167.5,145.5,0.2252,-0.013,0.1512,0.0131,-1.0705,1.242,3.93,-0.23,0.47,0.14,4.4,-0.09,2.48,0.8,3.28,2.51,0.81,3.32
8475168,Matt Duchene,C,2015,76,1113.6,199.4,15.4,0.5705,-0.2901,0.3999,-0.0532,-0.6285,0.7542,10.59,-5.38,-0.64,-0.01,9.95,-5.39,3.37,-0.11,3.26,3.64,-0.12,3.52
8473463,Leo Komarov,C,2015,67,897.0,138.7,108.9,-0.0154,0.4301,-0.0607,0.0735,-1.3397,2.0679,-0.23,6.43,0.36,0.04,0.13,6.47,1.49,1.76,3.25,1.82,2.15,3.98
8470616,Ryan Kesler,C,2015,79,1102.2,150.4,203.2,-0.1353,0.2931,-0.1596,0.1218,-1.4806,1.7456,-2.49,5.38,0.07,-0.05,-2.42,5.33,1.47,1.76,3.23,1.53,1.83,3.35
8476389,Vincent Trocheck,C,2015,76,1040.4,189.2,56.4,0.353,-0.0881,0.2307,-0.0218,-0.8943,1.1267,6.12,-1.53,0.09,0.14,6.21,-1.39,2.69,0.54,3.23,2.9,0.58,3.49
8477493,Aleksander Barkov,C,2015,66,924.2,180.7,111.7,0.5248,-0.2685,0.369,-0.025,-0.6889,0.7692,8.08,-4.14,1.37,0.04,9.45,-4.1,3.14,0.04,3.18,3.9,0.05,3.95
8475462,Radko Gudas,D,2015,75,1238.4,11.0,196.9,-0.052,0.5369,0.0039,0.0867,-0.1431,0.991,-1.07,11.08,-0.02,0.01,-1.09,11.09,0.74,2.44,3.18,0.81,2.67,3.48
8470595,Eric Staal,C,2015,83,1242.7,205.5,26.4,0.4,-0.3063,0.2914,-0.0286,-0.8611,0.6971,8.28,-6.34,0.31,0.01,8.59,-6.33,3.33,-0.18,3.15,3.29,-0.18,3.11
8469455,Jason Spezza,C,2015,75,954.2,223.5,7.6,0.7493,-0.4682,0.4494,-0.0926,-0.3203,0.4372,11.92,-7.45,0.95,-0.0,12.87,-7.45,3.67,-0.53,3.14,4.01,-0.58,3.43
8473548,Phil Kessel,R,2015,82,1156.3,267.2,0.6,0.583,-0.4721,0.4141,-0.0803,-0.6177,0.4172,11.24,-9.1,0.66,0.0,11.9,-9.1,3.81,-0.67,3.14,3.81,-0.67,3.14
8469707,PA Parenteau,R,2015,77,990.1,201.8,1.2,0.4114,-0.0797,0.3191,0.0107,-0.8659,1.111,6.79,-1.31,-0.13,0.01,6.66,-1.3,2.64,0.49,3.13,2.81,0.52,3.33
8478402,Connor McDavid,C,2015,45,635.4,124.8,32.7,1.0505,-0.3253,0.7646,-0.0746,-0.0332,0.7052,11.12,-3.44,1.94,0.1,13.06,-3.34,3.2,-0.08,3.12,5.83,-0.15,5.69
8470621,Corey Perry,R,2015,82,1167.7,224.8,4.4,0.1828,-0.1045,0.1179,-0.0423,-1.1219,1.1144,3.56,-2.03,1.38,0.0,4.94,-2.03,2.62,0.49,3.11,2.62,0.49,3.11
8471707,James Neal,L,2015,82,1266.9,219.4,0.8,0.0858,-0.0324,0.0758,-0.0003,-1.2739,1.2166,1.81,-0.68,0.74,0.0,2.55,-0.68,2.34,0.77,3.11,2.34,0.77,3.11
