player_id,player_name,position,season,GP,toi_min,daily_GP,age,curr_O,curr_D,curr_O_se,curr_D_se,prior_O,prior_D,prior_O_se,prior_D_se,cf_O,cf_D,cf_total,cf_O_se,cf_D_se,data_weight_O,data_weight_D,retain_O,retain_D,composite_O,composite_D,PV_O,PV_D,IV_O,IV_D,GV_O,GV_D,OOI_O,OOI_D,RAPM_O,RAPM_D,PP_rate,PK_rate,sit_pk,sit_pp,sit_5v5,EV_O_GAR,EV_D_GAR,PP_GAR,PK_GAR,GAR_O,GAR_D,WAR_O,WAR_D,WAR,WAR_82
8477932,Aaron Ekblad,D,2015,78,1345.4,78,20.0,0.29,-0.1876,0.2313,0.1157,0.0,0.0,0.4,0.2,0.2173,-0.1406,0.0767,0.2003,0.1001,0.749,0.749,0.763,0.868,0.29,-0.1876,0.2641,-0.0185,0.2826,-0.3524,0.1346,0.0146,2.1012,-2.4105,0.1887,0.0837,0.182,0.0445,53.9,211.0,1345.4,4.87,-3.15,0.64,0.04,5.51,-3.11,1.5,-0.04,1.46,1.53
8476431,Adam Clendening,D,2015,29,391.6,29,24.0,0.2649,-0.133,0.4288,0.2144,0.0,0.0,0.4,0.2,0.1233,-0.0619,0.0614,0.2925,0.1462,0.465,0.465,0.745,0.869,0.2649,-0.133,0.2342,-0.0821,0.2624,-0.1795,0.3697,-0.1133,2.3298,-1.9675,-0.0871,0.0238,0.0,0.0,0.1,23.2,391.6,0.8,-0.4,0.0,0.0,0.8,-0.4,0.28,0.06,0.34,0.96
8471490,Adam Cracknell,R,2015,52,586.6,52,27.0,-0.5246,0.2197,0.3503,0.1752,0.0,0.0,0.4,0.2,-0.2969,0.1243,-0.1725,0.2635,0.1318,0.566,0.566,0.733,0.87,-0.5246,0.2197,-0.4438,0.0246,-1.9748,1.6961,-1.649,0.0107,-1.8535,1.5329,-0.1013,0.1254,0.0,0.0,32.8,6.1,586.6,-2.9,1.22,0.0,0.0,-2.9,1.22,-0.03,0.48,0.45,0.71
8474641,Adam Henrique,C,2015,80,1082.4,80,26.0,-0.0483,-0.1458,0.2579,0.129,0.0,0.0,0.4,0.2,-0.0341,-0.103,-0.1371,0.2168,0.1084,0.706,0.706,0.737,0.87,-0.0483,-0.1458,0.005,-0.004,-1.471,0.9935,0.1451,0.0034,-1.0523,0.1784,0.061,0.1392,0.0909,0.0691,199.8,191.4,1082.4,-0.62,-1.86,0.29,0.23,-0.33,-1.63,1.01,0.37,1.38,1.41
8476457,Adam Larsson,D,2015,82,1492.4,82,24.0,-0.2362,0.3242,0.2196,0.1098,0.0,0.0,0.4,0.2,-0.1815,0.2491,0.0676,0.1925,0.0963,0.768,0.768,0.745,0.869,-0.2362,0.3242,-0.1523,0.1278,-0.3533,0.5251,-0.4928,0.1964,1.226,-1.0276,0.1664,0.4738,-0.1538,0.0764,259.1,11.7,1492.4,-4.51,6.2,-0.03,0.33,-4.54,6.53,-0.12,1.61,1.49,1.49
8476392,Adam Lowry,C,2015,74,856.7,74,23.0,-0.3616,0.3476,0.2899,0.145,0.0,0.0,0.4,0.2,-0.2371,0.2279,-0.0092,0.2347,0.1174,0.656,0.656,0.75,0.868,-0.3616,0.3476,-0.2329,0.0728,-1.8598,1.9036,-0.6866,0.1065,-1.8946,2.0874,0.1514,0.0593,-0.0857,0.0491,146.5,14.0,856.7,-3.39,3.25,-0.02,0.12,-3.41,3.37,0.17,1.01,1.18,1.31
8471717,Adam McQuaid,D,2015,64,972.3,64,30.0,-0.3581,0.2747,0.2721,0.1361,0.0,0.0,0.4,0.2,-0.2448,0.1878,-0.057,0.225,0.1125,0.684,0.684,0.721,0.873,-0.3581,0.2747,-0.1832,0.0232,-0.5664,0.5306,-0.3043,0.037,0.7958,-0.7908,-0.1078,0.325,0.0,0.0082,146.9,2.9,972.3,-3.97,3.04,0.0,0.02,-3.97,3.06,-0.26,0.84,0.58,0.74
8471385,Adam Pardy,D,2015,23,308.0,23,32.0,0.0359,0.0524,0.4835,0.2417,0.0,0.0,0.4,0.2,0.0146,0.0213,0.0359,0.3082,0.1541,0.406,0.406,0.714,0.875,0.0359,0.0524,0.0439,-0.0235,-0.0053,0.1327,-0.7841,-0.012,1.5539,-1.4268,0.2201,-0.0179,0.0,0.0342,52.7,0.4,308.0,0.07,0.11,0.0,0.03,0.07,0.14,0.14,0.13,0.27,0.96
8474166,Alec Martinez,D,2015,78,1269.6,78,29.0,-0.1199,0.2829,0.2381,0.1191,0.0,0.0,0.4,0.2,-0.0885,0.2089,0.1203,0.2046,0.1023,0.738,0.738,0.725,0.872,-0.1199,0.2829,-0.0559,0.0312,-0.2172,0.539,-0.1162,0.0433,1.6078,-0.9421,-0.1247,0.3548,-0.0787,0.0254,165.4,152.4,1269.6,-1.87,4.42,-0.2,0.07,-2.07,4.49,0.23,1.22,1.45,1.52
8477493,Aleksander Barkov,C,2015,66,924.2,66,21.0,0.4641,-0.2565,0.2791,0.1396,0.0,0.0,0.4,0.2,0.3121,-0.1725,0.1396,0.2289,0.1144,0.673,0.673,0.759,0.868,0.4641,-0.2565,0.3186,-0.0219,-0.7599,0.7902,0.8673,-0.0246,0.5361,-0.0071,-0.1335,-0.0131,0.4549,0.0215,111.7,180.7,924.2,4.81,-2.66,1.37,0.04,6.18,-2.62,1.91,0.09,2.0,2.48
8469466,Ales Hemsky,R,2015,75,825.5,75,33.0,0.4968,-0.0887,0.2953,0.1477,0.0,0.0,0.4,0.2,0.3215,-0.0574,0.2641,0.2376,0.1188,0.647,0.647,0.711,0.876,0.4968,-0.0887,0.3119,-0.0145,-0.6878,1.1184,0.5374,-0.0223,0.68,0.556,-0.1819,0.0467,-0.1812,0.0,0.7,115.9,825.5,4.42,-0.79,-0.35,0.0,4.07,-0.79,1.36,0.28,1.64,1.79
8473415,Alex Biega,D,2015,51,773.4,51,28.0,-0.0698,-0.0251,0.3051,0.1526,0.0,0.0,0.4,0.2,-0.0441,-0.0159,-0.06,0.2426,0.1213,0.632,0.632,0.729,0.871,-0.0698,-0.0251,-0.0146,-0.0322,-0.1583,-0.0136,-0.1997,-0.014,1.58,-1.682,-0.0318,-0.5073,0.0,-0.0341,52.8,9.8,773.4,-0.57,-0.2,0.0,-0.03,-0.57,-0.23,0.21,0.21,0.42,0.68
8475163,Alex Chiasson,R,2015,77,831.5,77,26.0,-0.8199,0.2198,0.2943,0.1471,0.0,0.0,0.4,0.2,-0.532,0.1426,-0.3894,0.237,0.1185,0.649,0.649,0.737,0.87,-0.8199,0.2198,-0.5298,0.0501,-2.4794,1.6707,-0.438,0.061,-2.675,1.6165,-0.2106,0.0583,0.3154,-0.0053,113.4,81.8,831.5,-7.37,1.98,0.43,-0.01,-6.94,1.97,-0.41,0.78,0.37,0.39
8476851,Alex Galchenyuk,C,2015,82,1059.8,82,22.0,0.6282,-0.2465,0.2606,0.1303,0.0,0.0,0.4,0.2,0.441,-0.173,0.2679,0.2184,0.1092,0.702,0.702,0.754,0.868,0.6282,-0.2465,0.4745,-0.042,-0.5874,0.8303,0.5907,-0.0194,0.3598,0.0786,0.1508,-0.2023,0.0302,0.0,0.6,198.4,1059.8,7.79,-3.06,0.1,0.0,7.89,-3.06,2.23,0.04,2.27,2.27
8471274,Alex Goligoski,D,2015,82,1517.4,82,31.0,0.1151,-0.0185,0.2178,0.1089,0.0,0.0,0.4,0.2,0.0888,-0.0143,0.0745,0.1913,0.0957,0.771,0.771,0.718,0.874,0.1151,-0.0185,0.1534,0.0253,0.0436,-0.0578,0.4701,0.0806,1.9129,-1.8003,-0.0157,0.0076,-0.1474,0.0338,177.7,150.6,1517.4,2.25,-0.36,-0.37,0.1,1.88,-0.26,0.98,0.5,1.48,1.48
8473986,Alex Killorn,L,2015,81,1096.5,81,27.0,0.1137,-0.0771,0.2562,0.1281,0.0,0.0,0.4,0.2,0.0806,-0.0547,0.026,0.2158,0.1079,0.709,0.709,0.733,0.87,0.1137,-0.0771,0.1204,0.0202,-1.2624,1.1068,0.2128,0.055,-0.7804,0.4737,0.1585,0.0021,0.1516,0.0347,34.6,178.1,1096.5,1.47,-1.0,0.45,0.02,1.92,-0.98,1.27,0.41,1.68,1.7
8471214,Alex Ovechkin,L,2015,79,1207.2,79,31.0,0.4695,0.1311,0.2442,0.1221,0.0,0.0,0.4,0.2,0.342,0.0955,0.4375,0.2084,0.1042,0.728,0.728,0.718,0.874,0.4695,0.1311,0.3277,-0.0231,-0.7581,1.5666,0.4882,-0.036,0.304,1.693,0.0141,-0.2464,0.3436,0.0,0.3,326.5,1207.2,6.88,1.92,1.87,0.0,8.75,1.92,2.57,0.99,3.56,3.7
8475755,Alex Petrovic,D,2015,66,967.3,66,24.0,0.0317,0.1673,0.2728,0.1364,0.0,0.0,0.4,0.2,0.0216,0.1142,0.1358,0.2254,0.1127,0.682,0.682,0.745,0.869,0.0317,0.1673,0.0687,0.0355,-0.0385,0.3035,0.2102,0.0699,1.8348,-1.2982,0.0641,0.1026,0.0,0.2013,110.3,7.6,967.3,0.35,1.84,0.0,0.37,0.35,2.21,0.45,0.69,1.14,1.42
8474565,Alex Pietrangelo,D,2015,73,1438.9,73,26.0,0.2617,-0.0828,0.2237,0.1118,0.0,0.0,0.4,0.2,0.1994,-0.0631,0.1363,0.1952,0.0976,0.762,0.762,0.737,0.87,0.2617,-0.0828,0.2205,0.0567,0.2697,-0.2179,-0.071,0.1541,2.1059,-2.1814,0.2442,-0.1569,-0.1166,-0.0335,215.0,164.6,1438.9,4.78,-1.51,-0.32,-0.12,4.46,-1.63,1.4,0.27,1.67,1.88
8467338,Alex Tanguay,L,2015,70,884.3,70,37.0,0.1736,-0.1289,0.2853,0.1427,0.0,0.0,0.4,0.2,0.1151,-0.0854,0.0296,0.2323,0.1161,0.663,0.663,0.698,0.882,0.1736,-0.1289,0.1616,-0.0659,-1.1839,1.0893,0.4201,-0.0986,-0.5557,0.6129,0.1283,-0.2566,0.0246,0.0167,36.0,146.4,884.3,1.7,-1.26,0.06,0.01,1.76,-1.25,1.07,0.26,1.33,1.56
8475788,Alexander Burmistrov,C,2015,81,1053.3,81,25.0,-0.5726,-0.0122,0.2615,0.1307,0.0,0.0,0.4,0.2,-0.4012,-0.0085,-0.4097,0.2188,0.1094,0.701,0.701,0.741,0.869,-0.5726,-0.0122,-0.3924,-0.0013,-2.1222,1.2581,-0.9586,0.0133,-2.2052,1.0056,-0.3302,-0.1613,0.0,0.0,160.6,75.4,1053.3,-7.04,-0.15,0.0,0.0,-7.04,-0.15,-0.24,0.54,0.3,0.3
8471303,Alexander Edler,D,2015,52,938.4,52,30.0,0.1586,0.0552,0.277,0.1385,0.0,0.0,0.4,0.2,0.1072,0.0373,0.1445,0.2277,0.1139,0.676,0.676,0.721,0.873,0.1586,0.0552,0.1674,-0.0352,0.1166,0.1501,-0.1037,-0.0592,1.7005,-1.3853,0.5319,-0.0078,0.0954,-0.0239,125.5,151.0,938.4,1.68,0.58,0.24,-0.05,1.92,0.53,0.76,0.45,1.21,1.91
8470257,Alexander Steen,L,2015,66,984.3,66,32.0,-0.0915,-0.0912,0.2705,0.1352,0.0,0.0,0.4,0.2,-0.0628,-0.0626,-0.1254,0.2241,0.112,0.686,0.686,0.714,0.875,-0.0915,-0.0912,-0.0714,-0.0333,-1.4811,1.1321,-0.167,-0.0525,-0.8664,0.4938,-0.1865,0.0118,0.2719,-0.038,110.5,189.8,986.1,-1.03,-1.03,0.86,-0.07,-0.17,-1.1,0.9,0.38,1.28,1.59
8477505,Alexander Wennberg,C,2015,69,857.0,69,22.0,0.0838,-0.3824,0.2899,0.1449,0.0,0.0,0.4,0.2,0.0549,-0.2507,-0.1958,0.2347,0.1174,0.656,0.656,0.754,0.868,0.0838,-0.3824,0.0575,-0.0695,-1.2594,0.5859,0.2345,-0.0865,-0.3746,-0.5555,-0.3531,-0.0289,0.2248,-0.0791,45.5,138.8,857.0,0.78,-3.58,0.52,-0.06,1.3,-3.64,0.97,-0.15,0.82,0.97
8470358,Alexandre Burrows,R,2015,79,883.2,79,35.0,-0.3442,0.1172,0.2855,0.1428,0.0,0.0,0.4,0.2,-0.228,0.0776,-0.1504,0.2324,0.1162,0.662,0.662,0.704,0.879,-0.3442,0.1172,-0.2379,0.0445,-1.8199,1.4711,-1.1637,0.0679,-1.9899,1.1463,0.2833,0.214,-0.1931,-0.0136,132.5,142.9,883.2,-3.36,1.14,-0.46,-0.03,-3.82,1.11,0.2,0.69,0.89,0.92
8471296,Alexei Emelin,D,2015,72,1250.8,72,30.0,-0.4105,0.347,0.2399,0.12,0.0,0.0,0.4,0.2,-0.3019,0.2552,-0.0467,0.2057,0.1029,0.735,0.735,0.721,0.873,-0.4105,0.347,-0.2847,0.0356,-0.5695,0.6628,-0.4679,0.058,1.1911,-0.3997,-0.4791,0.0303,-0.1176,-0.0041,146.1,20.4,1250.8,-6.29,5.32,-0.04,-0.01,-6.33,5.31,-0.54,1.3,0.76,0.87
