player_id,player_name,position,team,season,GP,GAR_O,GAR_D,OWS,DWS,WS,WS_82
8477497,Sean Monahan,C,CGY,2015,80,2.72,-0.18,22.041,0.0,22.041,22.592
8475794,Tyler Seguin,C,DAL,2015,72,6.31,0.03,17.02,0.081,17.1,19.476
8477492,Nathan MacKinnon,C,COL,2015,72,2.46,0.16,15.014,0.977,15.991,18.212
8474141,Patrick Kane,R,CHI,2015,82,3.34,0.04,15.104,0.181,15.285,15.285
8470794,Joe Pavelski,C,SJS,2015,82,3.66,0.08,14.077,0.308,14.385,14.385
8473618,Mathieu Perreault,C,WPG,2015,71,1.7,0.02,13.95,0.164,14.115,16.301
8470638,Patrice Bergeron,C,BOS,2015,80,3.7,-0.4,13.835,0.0,13.835,14.181
8475151,Kyle Palmieri,R,NJD,2015,82,3.06,-0.12,13.275,0.0,13.275,13.275
8471262,Carl Soderberg,C,COL,2015,82,2.17,-0.26,13.244,0.0,13.244,13.244
8477493,Aleksander Barkov,C,FLA,2015,66,0.89,0.63,7.313,5.176,12.489,15.517
8475170,Brayden Schenn,C,PHI,2015,80,3.33,0.03,12.323,0.111,12.434,12.745
8476346,Johnny Gaudreau,L,CGY,2015,79,1.37,0.16,11.101,1.297,12.398,12.869
8478550,Artemi Panarin,L,CHI,2015,80,2.62,0.04,11.848,0.181,12.029,12.329
8474031,Kevin Shattenkirk,D,STL,2015,72,2.86,-0.47,11.905,0.0,11.905,13.559
8471887,Patric Hornqvist,R,PIT,2015,82,2.96,0.08,11.46,0.31,11.77,11.77
8476453,Nikita Kucherov,R,TBL,2015,77,2.42,0.06,11.473,0.284,11.757,12.521
8470257,Alexander Steen,L,STL,2015,66,2.82,-0.31,11.739,0.0,11.739,14.585
8467875,Daniel Sedin,L,VAN,2015,77,2.49,0.04,11.502,0.185,11.687,12.446
8475158,Ryan O'Reilly,C,BUF,2015,68,2.35,0.38,9.946,1.608,11.554,13.933
8474600,Roman Josi,D,NSH,2015,81,4.03,1.16,8.864,2.551,11.415,11.556
8475848,Brendan Gallagher,R,MTL,2015,53,2.22,0.08,10.957,0.395,11.351,17.562
8474563,Drew Doughty,D,LAK,2015,82,1.67,-2.08,11.026,0.0,11.026,11.026
8474884,Mike Hoffman,L,OTT,2015,78,1.2,0.03,10.723,0.268,10.991,11.555
8478402,Connor McDavid,C,EDM,2015,45,2.38,0.12,10.133,0.511,10.644,19.395
8476454,Ryan Nugent-Hopkins,C,EDM,2015,55,2.45,-0.03,10.431,0.0,10.431,15.551
8470621,Corey Perry,R,ANA,2015,82,3.77,-0.05,10.35,0.0,10.35,10.35
8474157,Max Pacioretty,L,MTL,2015,82,1.9,0.17,9.377,0.839,10.216,10.216
8474190,Wayne Simmonds,R,PHI,2015,81,2.72,-0.03,10.065,0.0,10.065,10.19
8470610,Zach Parise,L,MIN,2015,70,2.46,0.08,9.485,0.308,9.794,11.473
8477503,Max Domi,L,ARI,2015,81,2.15,0.07,9.003,0.293,9.296,9.411
8471218,Blake Wheeler,R,WPG,2015,82,1.12,-1.01,9.191,0.0,9.191,9.191
8471215,Evgeni Malkin,C,PIT,2015,57,2.36,-0.05,9.137,0.0,9.137,13.144
8462038,Shane Doan,R,ARI,2015,72,1.98,0.12,8.291,0.502,8.794,10.015
8473994,Jamie Benn,L,DAL,2015,82,3.2,-0.26,8.631,0.0,8.631,8.631
8474161,Jakub Voracek,R,PHI,2015,73,2.24,0.08,8.289,0.296,8.585,9.644
8471707,James Neal,L,NSH,2015,82,3.88,-0.02,8.534,0.0,8.534,8.534
8475180,Peter Holland,C,TOR,2015,65,2.07,0.08,8.042,0.311,8.353,10.538
8473512,Claude Giroux,C,PHI,2015,78,2.24,-0.58,8.289,0.0,8.289,8.714
8475166,John Tavares,C,NYI,2015,78,2.74,0.12,7.845,0.344,8.189,8.608
8471214,Alex Ovechkin,L,WSH,2015,79,3.55,0.02,8.006,0.045,8.051,8.357
8477934,Leon Draisaitl,C,EDM,2015,72,1.74,0.1,7.408,0.426,7.834,8.922
8474564,Steven Stamkos,C,TBL,2015,77,1.2,0.45,5.689,2.133,7.822,8.33
8477505,Alexander Wennberg,C,CBJ,2015,69,1.88,0.18,7.133,0.683,7.816,9.289
8473412,Bryan Little,C,WPG,2015,57,0.94,-1.19,7.714,0.0,7.714,11.097
8476459,Mika Zibanejad,C,OTT,2015,80,0.84,0.02,7.506,0.179,7.685,7.877
8470834,Dustin Byfuglien,D,WPG,2015,81,0.77,0.15,6.319,1.231,7.55,7.643
8475744,Evgeny Kuznetsov,C,WSH,2015,82,3.27,0.04,7.374,0.09,7.465,7.465
8475760,Nick Bjugstad,C,FLA,2015,67,0.87,-0.02,7.148,0.0,7.148,8.749
8471233,Travis Zajac,C,NJD,2015,73,-0.08,1.64,0.0,7.115,7.115,7.992
8475692,Mats Zuccarello,R,NYR,2015,81,1.21,0.03,6.889,0.171,7.06,7.147
8476432,Boone Jenner,C,CBJ,2015,82,1.84,-0.14,6.982,0.0,6.982,6.982
8476958,Jaccob Slavin,D,CAR,2015,63,0.54,1.34,2.004,4.973,6.977,9.081
8476856,Matt Dumba,D,MIN,2015,81,1.77,0.03,6.825,0.116,6.94,7.026
8476851,Alex Galchenyuk,C,MTL,2015,82,1.29,0.09,6.367,0.444,6.811,6.811
8470607,Brent Seabrook,D,CHI,2015,81,0.84,0.66,3.799,2.985,6.783,6.867
8470616,Ryan Kesler,C,ANA,2015,79,0.98,1.46,2.69,4.008,6.699,6.953
8473533,Jordan Staal,C,CAR,2015,82,1.14,0.64,4.231,2.375,6.606,6.606
8468083,Henrik Zetterberg,C,DET,2015,82,1.32,0.09,6.119,0.417,6.536,6.536
8470599,Milan Michalek,L,OTT,2015,45,0.73,-0.08,6.523,0.0,6.523,11.887
8474102,David Perron,L,PIT,2015,71,1.65,-0.06,6.388,0.0,6.388,7.378
8469459,Mikko Koivu,C,MIN,2015,81,1.62,-0.2,6.246,0.0,6.246,6.324
8466139,Patrick Marleau,C,SJS,2015,82,1.61,-0.68,6.192,0.0,6.192,6.192
8475167,Victor Hedman,D,TBL,2015,78,1.3,-0.21,6.163,0.0,6.163,6.479
8478403,Jack Eichel,C,BUF,2015,81,1.23,0.22,5.206,0.931,6.137,6.212
8477407,Anthony Duclair,L,ARI,2015,81,1.42,0.04,5.946,0.167,6.114,6.189
8473546,Michael Grabner,R,TOR,2015,80,0.0,1.55,0.0,6.022,6.022,6.173
8475913,Mark Stone,R,OTT,2015,75,0.56,0.11,5.004,0.983,5.987,6.546
8471392,Roman Polak,D,TOR,2015,79,-0.1,1.54,0.0,5.983,5.983,6.21
8473463,Leo Komarov,C,TOR,2015,67,0.94,0.6,3.652,2.331,5.983,7.323
8475726,Tyler Toffoli,C,LAK,2015,82,0.9,-0.37,5.942,0.0,5.942,5.942
8470642,Shea Weber,D,NSH,2015,78,1.44,1.19,3.167,2.617,5.784,6.081
